Ambit_InchiKey,Original_Entry_ID,Entrez_ID,Activity_Flag,pXC50,DB,Original_Assay_ID,Tax_ID,Gene_Symbol,Ortholog_Group,SMILES
AGVRILRKGQDLBR-GOSISDBHNA-N,CHEMBL1641625,3359,A,8.62,chembl20,700634,9606,HTR3A,2102,C1=C2C=3C(CN(C2=O)[C@H]4C5CCN(C4)CC5)=NN(C3C=C1)CC(C)C
ACKJXXOVSOCBPX-PHLAQJRANA-N,11376655,79246,A,8.25181,pubchem,652569,10116,HTR3A,2102,O=C(NCCCCCCCNC=1C=2CCCCC2N=C3C1C=CC=C3)C4=C(C(N5CCN(CC5)C)=NC=6C4=CC=CC6)C
ACKJXXOVSOCBPX-PHLAQJRANA-N,CHEMBL195241,3359,A,8.25,chembl20,462123,9606,HTR3A,2102,C=1(N=C2C=CC=CC2=C(C1C)C(=O)NCCCCCCCNC=3C4=C(CCCC4)N=C5C3C=CC=C5)N6CCN(CC6)C
ADYMTDFOOCWUHC-UHFFFAOYNA-N,CHEMBL305582,3359,A,8.13,chembl20,3480,9606,HTR3A,2102,C=1(N(C2=CC=CC=C2N1)CCC3=CC=CC=C3)N4CCNCC4
AFUWQWYPPZFWCO-SRFFZEJWNA-N,CHEMBL1643880,3359,A,8.27,chembl20,700635,9606,HTR3A,2102,C1(C(=O)N[C@H]2CN3CCC2CC3)=CN=C4C(SC=C4)=C1O
ABIDZKZAFOTHFB-CCUGXXBONA-N,CHEMBL1271790,3359,A,8.17,chembl20,674333,9606,HTR3A,2102,C1C2CCN(C1)C[C@H]2NC(C3=C4N=C(OC4=CC=C3)N5[C@H](COC[C@@H]5C)C)=O
ABSDJNLAUZQHJY-UHFFFAOYNA-N,CHEMBL2205048,3359,A,7.21,chembl20,880265,9606,HTR3A,2102,N1(CCNCC1)C=2C(=CC=CC2)SC=3C=C(C=CC3)OC
AFLJKKMTBWNZFE-KAASGWQYNA-N,CHEMBL378349,3359,A,6.76,chembl20,851152,9606,HTR3A,2102,C1N2CCC([C@@H](NC(C3=CC4=C(C=C3)C=CS4)=O)C2)C1
BIKQMUIIBHYLFG-QNYVOOPBNA-N,CHEMBL3084765,3359,A,8.41,chembl20,674333,9606,HTR3A,2102,[C@@H]12C[C@H](NC(C3=C4N=C(OC4=CC=C3)N5[C@H](COCC5)CCC)=O)C[C@@H](CCC1)N2C
BIKQMUIIBHYLFG-WBRJOLTRNA-N,76309745,3359,A,8.40894,pubchem,526452,9606,HTR3A,2102,O=C(NC1C[C@@H]2N([C@H](C1)CCC2)C)C3=C4N=C(OC4=CC=C3)N5[C@@H](CCC)COCC5
BJPAAUARTYANJL-UHFFFAOYNA-N,44419820,3359,A,6.56067,pubchem,276556,9606,HTR3A,2102,FC1=CC=C(C=2C(=C(N3CCNCC3)N(C2C(OC)=O)C)C=4C=CN=CC4)C=C1
BPPGPYJBCVXILI-UHFFFAOYNA-N,CHEMBL364005,3359,A,7.47,chembl20,321408,9606,HTR3A,2102,C1(=C(NC=2C1=CC(=CC2)Cl)C)C3=CCNCC3
BPUACIBQBJYAPM-UHFFFAOYNA-N,CHEMBL2204355,3359,A,7.1,chembl20,880265,9606,HTR3A,2102,N1(CCNCC1)C=2C(=CC=CC2)SC=3C(=C(C=CC3)OC)OC
BKSKSEWIBBBRSQ-SPEPDGBUNA-N,CHEMBL225601,3359,A,5.48,chembl20,578446,9606,HTR3A,2102,C1=CC=2C(N(C(NC2C=C1C(=O)NCCN3CCCCC3)=O)CC4=CC=C(C=C4)Cl)=O
BNASSGFQLMOZKG-LILDFLRNNA-N,CHEMBL471712,3359,A,6.24,chembl20,864726,9606,HTR3A,2102,C=1C=C2N=C(N3CCN(CC3)C)N=C(C2=CC1Cl)O
CQSHZMQFBNWFEG-UHFFFAOYNA-N,CHEMBL2205036,3359,A,6.51,chembl20,880265,9606,HTR3A,2102,N1(CCNCC1)C=2C(=CC=C(C2)C)SC=3C=CC=CC3
CMOWYBWYCJHODO-GOOKEEGPNA-N,CHEMBL461360,3359,A,5.63,chembl20,864726,9606,HTR3A,2102,C=1C=C2N=C(N3C[C@H](CC3)N)N=C(NC)C2=CC1Cl
CMTZEWBUSASFDG-WYGZFEBSNA-N,CHEMBL90314,79246,A,9.82,chembl20,3402,10116,HTR3A,2102,C=1(C(N[C@@H]2CN3CCC2CC3)=O)C(=C(I)C=C(C1)Cl)OC
CNFWMFUCRRCFNB-UHFFFAOYNA-N,CHEMBL598873,15561,A,8.41,chembl20,611799,10090,HTR3A,2102,C12CCN(CCN1C3=NC4=C(O3)C=CC(=C4)F)CC2
CPVZPPFHQBIJNB-DQJUVFDMNA-N,CHEMBL328866,15561,A,5.4,chembl20,3123,10090,HTR3A,2102,C1(C(N[C@@H]2CN(CC=3C=CC=CC3)CC2)=O)=C(C=C(C(=C1)Cl)NC(C4CC4)=O)OC
CPZBLNMUGSZIPR-NVXWUHKLNA-N,CHEMBL1189679,3359,A,10.5,chembl20,685540,9606,HTR3A,2102,N1(C(C=2C=CC=C3C2[C@@H](C1)CCC3)=O)[C@@H]4CN5CCC4CC5
CEOCEXSTLLSYBV-LILDFLRNNA-N,CHEMBL116913,3359,A,7.27,chembl20,3473,9606,HTR3A,2102,C=12C(NC3CCN(CC3)CCOCCOC1C=C(C(=C2)Cl)N)=O
CEUORZQYGODEFX-HXTKINSTNA-N,CHEMBL1112,3359,A,6.0,chembl20,1329312,9606,HTR3A,2102,C1(=CC=CC(=C1Cl)N2CCN(CCCCOC=3C=CC4=C(C3)NC(CC4)=O)CC2)Cl
CIBFBHWSAKKIPN-UHFFFAOYNA-N,CHEMBL2169968,3359,A,6.27,chembl20,864726,9606,HTR3A,2102,C=1C(=CC=C2C=CC=CC12)N3CCN(CC3)C
CFOHOEGJDCNBCR-UHFFFAOYNA-N,11305391,3359,A,7.00261,pubchem,536968,9606,HTR3A,2102,FC=1C=C2C(N=C(N(N)C2=O)CCCCN3CCN(CC3)C=4N=C5C(=CC4)C=CC=C5)=CC1
CJGNMVAAMQAWEF-UHFFFAOYNA-N,24841480,3359,A,5.72125,pubchem,757604,9606,HTR3A,2102,S1C=2C(N(C=3C1=CC=CC3)C(OCCN4CCCC4)=O)=CC=CC2
CKWOZHIVNRGMQI-KRWDZBQONA-N,53317928,3359,A,8.4437,pubchem,552106,9606,HTR3A,2102,O=C1N([C@@H]2C3CCN(C2)CC3)CC4=NN(C5=C4C1=CC=C5)C(C)C
CKWOZHIVNRGMQI-QGZVFWFLNA-N,CHEMBL1643889,3359,A,8.64,chembl20,700634,9606,HTR3A,2102,C1=C2C=3C(CN(C2=O)[C@H]4C5CCN(C4)CC5)=NN(C3C=C1)C(C)C
CFMSRRKPZHTMEX-UHFFFAOYNA-N,CHEMBL2169966,3359,A,8.79,chembl20,864726,9606,HTR3A,2102,C=1C(=NC=C2C=CC=CC12)N3CCN(CC3)C
DCSUBABJRXZOMT-ALXALTKCNA-N,CHEMBL74656,3359,A,5.7,chembl20,971714,9606,HTR3A,2102,C1(C(N[C@@H]2[C@@H](CN(CC2)CCCOC=3C=CC(=CC3)F)OC)=O)=C(C=C(C(=C1)Cl)N)OC
DCSUBABJRXZOMT-LELJVTLKNA-N,CHEMBL1729,79246,A,5.82,chembl20,3404,10116,HTR3A,2102,COC1CN(CCCOC2=CC=C(F)C=C2)CCC1NC(=O)C=3C=C(Cl)C(N)=CC3OC
DDHAJFBBJWHSBR-LPMOIUJANA-N,CHEMBL3233680,3359,A,7.6,chembl20,1337831,9606,HTR3A,2102,CN1[C@@H]2C[C@H](NC(C=3C4=CC=CC=C4N(C)N3)=O)C[C@@H]1CC2
CZPMNOSNQHHGTD-UHFFFAOYNA-N,CHEMBL471663,3359,A,5.0,chembl20,564583,9606,HTR3A,2102,N=1C=2C=CSC2N3C=CC=C3C1OCC4CCN(CC4)CCCC
CZWQBSKNHUVZLI-UHFFFAOYNA-N,CHEMBL1770373,3359,A,5.64,chembl20,744884,9606,HTR3A,2102,N=1C(CC=2C=CC=CC2)=NC=3CCNCCC3C1
CZXYEUKDTXJZAI-UHFFFAOYNA-N,53238132,3359,A,6.17393,pubchem,712522,9606,HTR3A,2102,S(C=1C(N2CCNCC2)=CC=CC1C)C3=C(C=C(C=C3)C)C
DACDBRYFJUJEAA-LJQANCHMNA-N,24996643,3359,A,8.52288,pubchem,648455,9606,HTR3A,2102,O(CCCN1[C@@H](CCC1)C)C2=CC=C(C=C2)C=3C(=NN(C(=O)C3)C4=NC=CC=C4C)C
DACDBRYFJUJEAA-LJQANCHMNA-N,CHEMBL1958334,79246,A,7.77,chembl20,805902,10116,HTR3A,2102,C1(N(N=C(C(=C1)C=2C=CC(=CC2)OCCCN3[C@@H](CCC3)C)C)C4=C(C=CC=N4)C)=O
CXJLWJAYGMWLRR-UHFFFAOYNA-N,CHEMBL611082,15561,A,7.89,chembl20,611799,10090,HTR3A,2102,C12CCN(CC1)CCN2C3=NC4=C(O3)C=CC=C4
CXJLWJAYGMWLRR-UHFFFAOYNA-N,CHEMBL611082,3359,A,7.89,chembl20,851152,9606,HTR3A,2102,C12CCN(CC1)CCN2C3=NC4=C(O3)C=CC=C4
CUQCMXFWIMOWRP-COZUNNQVNA-N,CHEMBL13791,3359,N,4.1,chembl20,689120,9606,HTR3A,2102,C(N=C(N)N)(=NC1=CC=CC=C1)N
CXDMUUBLDHSHNL-KAASGWQYNA-N,CHEMBL378471,3359,A,6.24,chembl20,851149,9606,HTR3A,2102,C1N2CCC([C@@H](NC(C3=CC4=C(C=C3)OC=C4)=O)C2)C1
CTZWGZSINBFHFD-FQEVSTJZNA-N,CHEMBL370758,79246,A,8.05,chembl20,303506,10116,HTR3A,2102,N1(C([C@@H]2CCCN2C(C1)=O)=O)CN3CCN(CC3)C4=C5C(C=CC=C5)=CC=C4
CYZKHRQTZRUXRT-UHFFFAOYNA-N,CHEMBL2205039,3359,A,6.36,chembl20,880265,9606,HTR3A,2102,N1(CCNCC1)C=2C(=CC=C(C2)C)SC=3C=CC(=CC3)F
CTKOQDQPYZTIFY-KRYVDBONNA-N,44157942,79246,A,8.55284,pubchem,375321,10116,HTR3A,2102,FC1=CC=2N=C(N3CCN(CC3)C[C@H](N)C(=O)O)C=4N(C2C=C1)C=CC4
CTKOQDQPYZTIFY-ZNSBXDNLNA-N,44157837,79246,A,8.92082,pubchem,375321,10116,HTR3A,2102,FC1=CC=2N=C(N3CCN(CC3)C[C@@H](N)C(=O)O)C=4N(C2C=C1)C=CC4
CVIIPJUPHIOKNG-SPEPDGBUNA-N,CHEMBL224641,3359,A,5.23,chembl20,578446,9606,HTR3A,2102,C1=CC=2C(N(C(NC2C=C1C(=O)NCCCN3C(CCCC3)C)=O)C4CCCCC4)=O
AOOSJYIINXVNHV-UHFFFAOYNA-N,CHEMBL68131,3359,A,6.8,chembl20,564428,9606,HTR3A,2102,O1CCOC=2C1=C(C(=CC2C(=O)OCC3CCN(CC3)CCCC)Cl)N
AOWDEXMOARHNIR-UHFFFAOYNA-N,53237900,3359,A,7.49485,pubchem,712522,9606,HTR3A,2102,S(C=1C(N2CCNCC2)=CC=CC1)C3=C(OC)C=C(OC)C=C3
AJEBHUMZPBDLQF-MIHJWAIRNA-N,46233635,3359,A,9.17393,pubchem,461556,9606,HTR3A,2102,O=C(NC1C[C@H]2N([C@H](C1)CCC2)C)C3=NN(C=4C3=CC=CC4O)C
AJMDHGFXFDUETC-UHFFFAOYNA-N,11230291,15561,A,6.79048,pubchem,460741,10090,HTR3A,2102,O1C(N2C3CCN(CC3)CC2)=NC=4C1=CN=CC4
AJOIVAKMJVSBOV-WYGZFEBSNA-N,CHEMBL1272176,3359,A,7.74,chembl20,674333,9606,HTR3A,2102,C1C2[C@@H](CN(C1)CC2)NC(C3=C4C(=CC=C3)OC(=N4)N(C)C)=O
ANTKBACNWQHQJE-UHFFFAOYNA-N,CHEMBL1242950,3359,A,6.0,chembl20,659608,9606,HTR3A,2102,C1(CCCC)CCN(CCCC(C=2C(=CC=CC2)C)=O)CC1
APHNFVMFNAFHIP-SMJXOZEZNA-N,CHEMBL2402888,3359,N,4.7,chembl20,971714,9606,HTR3A,2102,OC(CN1CCN(CC1)S(=O)(=O)C)CN2[C@@H]3C[C@H](C[C@H]2CC3)NC(=O)C4=C5C(=CC=C4)NC=N5
FNULMNZULDBPSF-XYMHRNEGNA-N,CHEMBL395960,3359,N,4.0,chembl20,445995,9606,HTR3A,2102,C1=CC=C2N3[C@H]4[C@H]5[C@H](N([C@H]6[C@H]7[C@H]3[C@]8(CC[N+]9([C@H]8C[C@H]7C(C9)=CCO6)CCOC(=O)C)C2=C1)C%10=CC=CC=C%10)[C@H]%11CC[N+]%12(CCOC(=O)C)[C@H]%11C[C@H]5C(=CCO4)C%12
FVBMQXFSNPPRRM-OAHLLOKONA-N,CHEMBL1958326,3359,A,8.7,chembl20,805903,9606,HTR3A,2102,C1(=O)C=C(C=2C=CC(=CC2)OCCCN3CCC[C@H]3C)C(=NN1C)C
FVBMQXFSNPPRRM-OAHLLOKONA-N,CHEMBL1958326,79246,A,8.19,chembl20,805902,10116,HTR3A,2102,C1(=O)C=C(C=2C=CC(=CC2)OCCCN3CCC[C@H]3C)C(=NN1C)C
FVAIFXRTWOJMOT-FVXCAPTGNA-N,76313436,3359,A,7.23284,pubchem,526452,9606,HTR3A,2102,O=C(NC1C[C@@H]2N([C@H](C1)CCC2)C)C3=C4OC(=NC4=CC=C3)C=5C=CC(OC)=CC5
FVAIFXRTWOJMOT-GSQNISDMNA-N,CHEMBL3084760,3359,A,7.23,chembl20,674333,9606,HTR3A,2102,[C@H]12N(C)[C@H](CCC1)C[C@H](C2)NC(C3=C4OC(=NC4=CC=C3)C=5C=CC(=CC5)OC)=O
DSYPQNCLZHZVKW-QWOVJGMINA-N,CHEMBL571475,79246,A,6.48,chembl20,592418,10116,HTR3A,2102,C=1(N=CNC1)CCN2CCN(C3=NC4=CC(=CC=C4N5C3=CC=C5)F)CC2
DYSMQUAVJOMJKD-UHFFFAOYNA-N,22495788,15561,A,8.92082,pubchem,460741,10090,HTR3A,2102,ClC1=CC=2N=C(OC2C=C1)N3C4CCN(CC4)CC3
GALAKJYLTKKOBQ-UHFFFAOYNA-N,CHEMBL66692,3359,A,9.38,chembl20,3480,9606,HTR3A,2102,C=1(N(C2=CC=CC=C2N1)CC3=CC=C(C=C3)OC)N4CCNCC4
FXRGLPUKLPILJM-PJQSKVNONA-N,CHEMBL224160,3359,A,5.55,chembl20,578446,9606,HTR3A,2102,C1=CC=2C(N(C(NC2C=C1C(NCCN3C(CCCC3)C)=O)=O)CC4=CC=C(C=C4)Cl)=O
GAYSOZKZPOVDSB-WDWZGEMTNA-N,CHEMBL34291,3359,A,6.82,chembl20,3468,9606,HTR3A,2102,C1(C(NC[C@H]2[C@H]3N(CCC3)CC2)=O)=C(C=C(C(=C1)Cl)N)OC
GBRCKQVRLPIGIR-UHFFFAOYNA-N,CHEMBL2169974,3359,A,6.48,chembl20,864726,9606,HTR3A,2102,N=1C(=CC=C2C=CC=C(C12)N)N3CCN(CC3)C
FZELPPCFOJWTQA-UHFFFAOYNA-N,CHEMBL382243,3359,N,4.0,chembl20,445995,9606,HTR3A,2102,C1=CC=C2N3C(=C(C2=C1)C[N+](C)(C)C)CN4C5=C(C(=C4C3)C[N+](C)(C)C)C=CC=C5
FZGWDCDUMFWUEO-UHFFFAOYNA-N,CHEMBL470432,3359,A,8.16,chembl20,564583,9606,HTR3A,2102,N=1C=2SC=C(C)C2N3C=CC=C3C1OCC4CCN(CC4)CCC
FZPKLJVFRJJYHW-GPQMBLKYNA-N,CHEMBL421738,79246,A,8.97,chembl20,3407,10116,HTR3A,2102,C1(C(NC2CN3CCC2CC3)=O)=C(C=C(C(=C1)I)N)OC
DTBALPGNCWCVJP-UHFFFAOYNA-N,CHEMBL68281,3359,A,6.62,chembl20,3478,9606,HTR3A,2102,C1(=NC2=CC=CC=C2N1CC=C)N3CCNCC3
DTTGUKXBOVDIES-GPQMBLKYNA-N,CHEMBL159825,79246,A,8.25,chembl20,3404,10116,HTR3A,2102,C=1(C(NC2C3CN(CC2)CC3)=O)C(=CC(=C(C1)Cl)N)OC
DPMQWTNICFCLFP-XBXBPLPCNA-N,CHEMBL224701,3359,A,5.8,chembl20,578446,9606,HTR3A,2102,C1=CC=2C(N(C(NC2C=C1C(=O)NCCN3CCCCC3)=O)C4=CC=C(C=C4)OC)=O
DPVWYBXBTMUDAS-UHFFFAOYNA-N,CHEMBL1277282,3359,A,7.28,chembl20,684849,9606,HTR3A,2102,N=1C(N(C(C2CCCCC12)=O)N)=CCCCN3CCN(CC3)C4=NC=5C=CC=CC5C=C4O
DNVBBWNTRFFIHW-CIFLUQPANA-N,53363442,3359,A,8.55284,pubchem,648455,9606,HTR3A,2102,O(CCCN1[C@@H](CCC1)C)C2=CC=C(C=C2)C=3C=C(O)N=NC3
DNVBBWNTRFFIHW-CIFLUQPANA-N,53363442,79246,A,8.07058,pubchem,648454,10116,HTR3A,2102,O(CCCN1[C@@H](CCC1)C)C2=CC=C(C=C2)C=3C=C(O)N=NC3
DVSMVUMYJDOPJQ-UHFFFAOYNA-N,CHEMBL3104091,3359,A,5.0,chembl20,1283847,9606,HTR3A,2102,C1CC2=C(N3C=4C1=CC=CC4C5=C3CCN(C5)C)C=CC=C2
DULFTXXWXGBQBT-UHFFFAOYNA-N,CHEMBL66918,3359,A,8.77,chembl20,3480,9606,HTR3A,2102,C=1(N(C2=CC=CC=C2N1)CC3=CC=C(C=C3)C)N4CCNCC4
DNBUHXJXKUSPHI-UHFFFAOYNA-N,CHEMBL605715,15561,A,7.04,chembl20,611799,10090,HTR3A,2102,C12CCN(CC1)CCN2C3=NC=4C(O3)=NC=CC4
GGBKKIVDGBAYTK-GPQMBLKYNA-N,CHEMBL490073,3359,A,6.78,chembl20,864726,9606,HTR3A,2102,C1=C(C=C2C(=C1)N=C(N3CCN(CC3)C)N=C2NC(C)C)Cl
GGQFEMQQQLOYIH-UHFFFAOYNA-N,CHEMBL2181188,3359,A,5.61,chembl20,878523,9606,HTR3A,2102,C=1C=C(C=2C(C1)=C3C(=C(N2)OCC4CCN(CC4)CCC)C=CC=C3)Cl
GGTVJORIYQKWBH-FVXCAPTGNA-N,76313440,3359,A,7.74473,pubchem,526452,9606,HTR3A,2102,ClC1=CC=C(C=2OC=3C(N2)=C(C(=O)NC4C[C@@H]5N([C@H](C4)CCC5)C)C=CC3)C=C1
GGTVJORIYQKWBH-GSQNISDMNA-N,CHEMBL3084781,3359,A,7.74,chembl20,674333,9606,HTR3A,2102,[C@H]12N([C@H](CCC1)C[C@H](C2)NC(C3=C4N=C(OC4=CC=C3)C5=CC=C(C=C5)Cl)=O)C
GILNYWJBQPUMRB-DBVKRTKPNA-N,CHEMBL2011600,79246,A,7.15,chembl20,809641,10116,HTR3A,2102,N(C(OC(C)(C)C)=O)CCOCCOCCOCCOCCOCCOCCOCCOCCOCCNC(C1=C(C)C(=NC2=CC=CC=C21)N3CCN(CC3)C)=O
GKXVRBQVTDCQMA-SKKVRFOWNA-N,CHEMBL2402892,3359,N,4.3,chembl20,971714,9606,HTR3A,2102,S(=O)(=O)(N1CCN(CC(CN2CCC(CNC(C3=C4C(=CC=C3)N=C(N4)C5CC5)=O)CC2)O)CC1)C
GLAKGIIOQOOKAC-PKSOQXRJNA-N,CHEMBL571046,79246,A,8.25,chembl20,592418,10116,HTR3A,2102,C1=C(C=C2N=C(N3CCN(CC3)CC4=NC=CN4)C=5N(C=CC5)C2=C1)F
GDRLBCZDGQFDCZ-UHFFFAOYNA-N,CHEMBL2181166,3359,A,6.39,chembl20,878523,9606,HTR3A,2102,C=1(OCC2CCN(CCCC=3C=CC(=CC3)I)CC2)C4=CC=CN=C4C5=CC=CC(F)=C5N1
FSIKVHPOLUUBDN-UHFFFAOYNA-N,24995996,3359,A,8.09151,pubchem,648455,9606,HTR3A,2102,O(CCCN1CCCCCC1)C2=CC=C(C=C2)C3=CC(=O)N(N=C3)C
FSIKVHPOLUUBDN-UHFFFAOYNA-N,CHEMBL1958135,79246,A,7.66,chembl20,805902,10116,HTR3A,2102,C1(N(N=CC(C=2C=CC(=CC2)OCCCN3CCCCCC3)=C1)C)=O
FQOUWLBNFDQPCQ-AMAVWWAONA-N,70683126,79246,A,6.97469,pubchem,652569,10116,HTR3A,2102,O=C(NCCOCCOCCOCCOCCOCCOCCOCCNC(=O)NC[13C](=O)O)C1=C(C(N2CCN(CC2)C)=NC=3C1=CC=CC3)C
FPUKGJMTLUQGFZ-UHFFFAOYNA-N,CHEMBL519609,3359,A,5.41,chembl20,969177,9606,HTR3A,2102,C1=CC=C2SC3=C(C=CC=C3)N(C(OCCCN(CC)CC)=O)C2=C1
FTPAKCBSUUBRFU-XBXBPLPCNA-N,CHEMBL1084631,3359,A,5.24,chembl20,634700,9606,HTR3A,2102,C1=C(NC(NCCCCN2CCCCC2)=O)C=CC(=C1)C3=CC=C(C=C3)F
DGHBTCQWEPIPBD-SQBIMTKRNA-N,70689423,79246,A,8.11351,pubchem,652569,10116,HTR3A,2102,O=C(NCCOCCOCCNC(=O)C1=C(C(N2CCN(CC2)C)=NC=3C1=CC=CC3)C)C4=C(C(N5CCN(CC5)C)=NC=6C4=CC=CC6)C
DGQFNXAQPQDMLO-UHFFFAOYNA-N,11162995,15561,A,5.43498,pubchem,460741,10090,HTR3A,2102,O1C(N2C3CCN(CC3)CC2)=NC4=C1N=CC(=C4)C5=CC=CC=C5
DIBPTWMSVTXGKP-FPOVZHCZNA-N,CHEMBL1949930,3359,N,4.52,chembl20,804658,9606,HTR3A,2102,O=S(C1=CC=C2[C@H]3[C@H](CNCC3)OC2=C1)(=O)C4=CC(=CC(=C4)OC)OC(C)C
DICVBGGIAAPPNV-ZSUDRMHPNA-N,CHEMBL1170237,3359,A,6.0,chembl20,989092,9606,HTR3A,2102,C1(/C(/N(C(N1C)=N)C)=C\C2=CNC3=C2C=C(C=C3)Br)=O
DIHXJZHAIHGSAW-LFGZLIIFNA-N,1354,15561,A,6.09691,pubchem,431578,10090,HTR3A,2102,ClC=1C=C(/N=C(/N=C(N)N)\N)C=CC1
DIHXJZHAIHGSAW-MSNMYWDFNA-N,CHEMBL13790,15561,A,6.1,chembl20,582922,10090,HTR3A,2102,C(N=C(N)N)(=NC=1C=C(Cl)C=CC1)N
DIHXJZHAIHGSAW-MSNMYWDFNA-N,CHEMBL13790,3359,A,5.8,chembl20,689120,9606,HTR3A,2102,C(N=C(N)N)(=NC=1C=C(Cl)C=CC1)N
DLAXWULAMBVPFO-LJQANCHMNA-N,24996326,3359,A,8.60206,pubchem,648455,9606,HTR3A,2102,O(CCCN1[C@@H](CCC1)C)C2=CC=C(C=C2)C3=CC(=O)N(N=C3)C4=NC=CC=C4C
DLAXWULAMBVPFO-LJQANCHMNA-N,CHEMBL1958332,79246,A,8.07,chembl20,805902,10116,HTR3A,2102,C1(C=C(C=NN1C2=C(C=CC=N2)C)C=3C=CC(=CC3)OCCCN4[C@@H](CCC4)C)=O
DZZIAERGLDKTBT-UHFFFAOYNA-N,49783415,3359,A,5.45457,pubchem,517063,9606,HTR3A,2102,O(CC1CCN(CC1)CCCC)C(=O)C=2C=C(OC)C(N)=CC2
FALASSBEVXPICK-BDGWVKIONA-N,CHEMBL225600,3359,A,5.66,chembl20,578446,9606,HTR3A,2102,C=1C(=CC=2NC(N(C(C2C1)=O)CCC)=O)C(NCCN3CCCCC3)=O
FBESFXOTONWCII-WYUMXYHSNA-N,CHEMBL2169975,3359,A,6.33,chembl20,864726,9606,HTR3A,2102,N1=C(N=C(C2=CC(=CC=C12)Cl)NC)N3CC(C3)N(C)C
FBGLUXQASNAMOM-PKANNQFQNA-O,71720442,3359,A,7.08092,pubchem,727994,9606,HTR3A,2102,O1C=2C(=C(C3=C1C=C(N(C)C)C=C3)C=4C(=CC(=CC4)C(=O)NCCCCCNC(=O)CCN5C6=C(C(=C5)CCN)C=C(O)C=C6)C(=O)O)C=CC(=[N+](C)C)C2
