,Molecule_ChEMBL_ID,Molecule_Name,Molecule_Max_Phase,Molecular_Weight,#RO5_Violations,AlogP,Compound_Key,Smiles,Standard_Type,Standard_Relation,Standard_Value,Standard_Units,pChEMBL_Value,Data_Validity_Comment,Comment,Uo_Units,Ligand_Efficiency_BEI,Ligand_Efficiency_LE,Ligand_Efficiency_LLE,Ligand_Efficiency_SEI,Potential_Duplicate,Assay_ChEMBL_ID,Assay_Description,Assay_Type,BAO_Format_ID,BAO_Label,Assay_Organism,Assay_Tissue_ChEMBL_ID,Assay_Tissue_Name,Assay_Cell_Type,Assay_Subcellular_Fraction,Assay_Parameters,Assay_Variant_Accession,Assay_Variant_Mutation,Target_ChEMBL_ID,Target_Name,Target_Organism,Target_Type,Document_ChEMBL_ID,Source_ID,Source_Description,Document_Journal,Document_Year,Cell_ChEMBL_ID,Properties,Standard_Value_nM,base_rdkit_smiles
15,CHEMBL102384,,0.0,463.0,0.0,3.75,37,O=C(c1ccc(OCCCN2CC[C@H](NS(=O)(=O)c3ccccc3Cl)C2)cc1)C1CC1,Ki,'=',4500.0,nM,5.35,,,UO_0000065,11.55,0.24,1.6,7.06,False,CHEMBL691613,Binding affinity to the human Histamine H1 receptor,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1134928,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2002.0,,,4500.0,O=C(c1ccc(OCCCN2CC[C@H](NS(=O)(=O)c3ccccc3Cl)C2)cc1)C1CC1
16,CHEMBL318801,,0.0,322.41,0.0,3.06,28,N#Cc1ccc(-c2ccc(OCCCN3CC[C@H](O)C3)cc2)cc1,Ki,'=',5623.41,nM,5.25,,,UO_0000065,16.28,0.3,2.19,9.29,False,CHEMBL697082,Binding affinity at human cortical Histamine 1 receptor,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1134931,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2002.0,,,5623.41,N#Cc1ccc(-c2ccc(OCCCN3CC[C@H](O)C3)cc2)cc1
17,CHEMBL446885,,0.0,452.47,0.0,4.8,12,CCOC(=O)N1CCN(CCCOc2ccc(-c3ccc(OC(F)(F)F)cc3)cc2)CC1,Ki,'=',436.52,nM,6.36,,,UO_0000065,14.06,0.27,1.56,12.41,False,CHEMBL692986,Binding affinity of human cortical histamine H1 receptor,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1134931,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2002.0,,,436.52,CCOC(=O)N1CCN(CCCOc2ccc(-c3ccc(OC(F)(F)F)cc3)cc2)CC1
18,CHEMBL264761,,0.0,360.45,0.0,2.99,57,C=C(C)C(=O)c1ccc(OCCCN2CCN(C(=O)OCC)CC2)cc1,Ki,'=',977.24,nM,6.01,,,UO_0000065,16.67,0.32,3.02,10.17,False,CHEMBL692991,Binding affinity for the human Histamine H1 Receptor,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1135198,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2002.0,,,977.24,C=C(C)C(=O)c1ccc(OCCCN2CCN(C(=O)OCC)CC2)cc1
19,CHEMBL104669,,0.0,322.41,0.0,3.06,27,N#Cc1ccc(-c2ccc(OCCCN3CC[C@@H](O)C3)cc2)cc1,Ki,'=',4466.84,nM,5.35,,,UO_0000065,16.59,0.3,2.29,9.47,False,CHEMBL697082,Binding affinity at human cortical Histamine 1 receptor,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1134931,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2002.0,,,4466.84,N#Cc1ccc(-c2ccc(OCCCN3CC[C@@H](O)C3)cc2)cc1
20,CHEMBL419912,,0.0,369.47,0.0,3.29,9,CCOC(=O)N1CCN(CCCOc2ccc(-c3ccncc3)cc2)CC1,Ki,'=',3715.35,nM,5.43,,,UO_0000065,14.7,0.27,2.14,9.89,False,CHEMBL692986,Binding affinity of human cortical histamine H1 receptor,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1134931,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2002.0,,,3715.35,CCOC(=O)N1CCN(CCCOc2ccc(-c3ccncc3)cc2)CC1
23,CHEMBL101692,,0.0,357.45,0.0,3.22,14,CCOC(=O)N1CCN(CCCOc2ccc(-c3cc[nH]c3)cc2)CC1,Ki,'=',501.19,nM,6.3,,,UO_0000065,17.62,0.33,3.08,10.9,False,CHEMBL692986,Binding affinity of human cortical histamine H1 receptor,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1134931,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2002.0,,,501.19,CCOC(=O)N1CCN(CCCOc2ccc(-c3cc[nH]c3)cc2)CC1
26,CHEMBL257716,,0.0,518.09,2.0,5.22,37,Cc1ccc2c(-c3nnc(SCCCN4CCc5nc6ccc(Cl)cn6c5CC4)n3C)cccc2n1,Ki,'=',1000.0,nM,6.0,,,UO_0000065,,,,,False,CHEMBL931103,Antagonist activity at histamine H1 receptor by FLIPR assay,F,BAO_0000019,assay format,,,,,,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1143157,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2008.0,,,1000.0,Cc1ccc2c(-c3nnc(SCCCN4CCc5nc6ccc(Cl)cn6c5CC4)n3C)cccc2n1
27,CHEMBL256488,,0.0,548.66,2.0,6.17,28,Cc1ccc2c(-c3nnc(SCCCN4CCc5ccc6nc(C(C)(F)F)oc6c5CC4)n3C)cccc2n1,Ki,'=',1584.89,nM,5.8,,,UO_0000065,,,,,False,CHEMBL931103,Antagonist activity at histamine H1 receptor by FLIPR assay,F,BAO_0000019,assay format,,,,,,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1143157,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2008.0,,,1584.89,Cc1ccc2c(-c3nnc(SCCCN4CCc5ccc6nc(C(C)(F)F)oc6c5CC4)n3C)cccc2n1
28,CHEMBL264007,,0.0,740.82,2.0,7.3,7,COc1cc(C(=O)N2CCC(CCN3CCC(C(=O)c4nc5ccccc5n4Cc4ccc(F)cc4)CC3)(c3ccc(F)cc3F)C2)cc(OC)c1OC,IC50,'=',6.36,nM,8.2,,,UO_0000065,,,,,False,CHEMBL840937,Antagonistic activity against histamine H1 receptor,F,BAO_0000019,assay format,,,,,,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1129219,1,Scientific Literature,Bioorg. Med. Chem. Lett.,1997.0,,,6.36,COc1cc(C(=O)N2CCC(CCN3CCC(C(=O)c4nc5ccccc5n4Cc4ccc(F)cc4)CC3)(c3ccc(F)cc3F)C2)cc(OC)c1OC
29,CHEMBL1201190,LEVOCETIRIZINE DIHYDROCHLORIDE,4.0,461.82,0.0,3.15,5,Cl.Cl.O=C(O)COCCN1CCN([C@H](c2ccccc2)c2ccc(Cl)cc2)CC1,Ki,'=',50.0,nM,7.3,,,UO_0000065,18.77,0.37,4.15,13.77,False,CHEMBL828797,Binding affinity for H1 histamine receptor expressed in CHO cells,B,BAO_0000219,cell-based format,,,,CHO,,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1142741,1,Scientific Literature,J. Med. Chem.,2005.0,CHEMBL3308072,,50.0,O=C(O)COCCN1CCN([C@H](c2ccccc2)c2ccc(Cl)cc2)CC1
30,CHEMBL97357,,0.0,773.73,2.0,8.33,5,COc1cc(C(=O)N2CCC(CCN3CCC(C(=O)c4nc5ccccc5n4Cc4ccc(F)cc4)CC3)(c3ccc(Cl)c(Cl)c3)C2)cc(OC)c1OC,IC50,'=',6.55,nM,8.18,,,UO_0000065,,,,,False,CHEMBL840937,Antagonistic activity against histamine H1 receptor,F,BAO_0000019,assay format,,,,,,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1129219,1,Scientific Literature,Bioorg. Med. Chem. Lett.,1997.0,,,6.55,COc1cc(C(=O)N2CCC(CCN3CCC(C(=O)c4nc5ccccc5n4Cc4ccc(F)cc4)CC3)(c3ccc(Cl)c(Cl)c3)C2)cc(OC)c1OC
31,CHEMBL214311,,0.0,275.78,0.0,3.35,ent-11a,Clc1ccc(CNCC[C@H]2C[C@@H]2c2c[nH]cn2)cc1,EC50,'>',10000.0,nM,,,,UO_0000065,,,,,False,CHEMBL854648,Agonist activity at human H1 receptor expressed in 293-EBNA cells by luciferase reporter gene assay,F,BAO_0000219,cell-based format,Homo sapiens,,,EBNA,,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1146915,1,Scientific Literature,J. Med. Chem.,2006.0,,,10000.0,Clc1ccc(CNCC[C@H]2C[C@@H]2c2c[nH]cn2)cc1
32,CHEMBL320003,,0.0,665.62,2.0,6.66,15,COc1cc(C(=O)N2CCC(CCN3CCC(C(=O)c4nc5ccccc5[nH]4)CC3)(c3ccc(Cl)c(Cl)c3)C2)cc(OC)c1OC,IC50,'=',6.39,nM,8.19,,,UO_0000065,,,,,False,CHEMBL840937,Antagonistic activity against histamine H1 receptor,F,BAO_0000019,assay format,,,,,,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1129219,1,Scientific Literature,Bioorg. Med. Chem. Lett.,1997.0,,,6.39,COc1cc(C(=O)N2CCC(CCN3CCC(C(=O)c4nc5ccccc5[nH]4)CC3)(c3ccc(Cl)c(Cl)c3)C2)cc(OC)c1OC
33,CHEMBL430471,,0.0,788.94,2.0,7.39,24,COc1cc(C(=O)N2CCC(CCN3CCC(C(=O)c4nc5ccccc5n4CCCCOc4ccccc4C(=O)O)CC3)(c3ccccc3)C2)cc(OC)c1OC,IC50,'=',5.04,nM,8.3,,,UO_0000065,,,,,False,CHEMBL840937,Antagonistic activity against histamine H1 receptor,F,BAO_0000019,assay format,,,,,,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1129219,1,Scientific Literature,Bioorg. Med. Chem. Lett.,1997.0,,,5.04,COc1cc(C(=O)N2CCC(CCN3CCC(C(=O)c4nc5ccccc5n4CCCCOc4ccccc4C(=O)O)CC3)(c3ccccc3)C2)cc(OC)c1OC
37,CHEMBL285802,ZOTEPINE,4.0,331.87,0.0,4.88,zotepine,CN(C)CCOC1=Cc2ccccc2Sc2ccc(Cl)cc21,Ki,'=',3.4,nM,8.47,,,UO_0000065,25.52,0.53,3.59,67.91,False,CHEMBL691615,Binding affinity towards human histamine H1 receptor,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1149193,1,Scientific Literature,J. Med. Chem.,2004.0,,,3.4,CN(C)CCOC1=Cc2ccccc2Sc2ccc(Cl)cc21
38,CHEMBL4286717,,0.0,427.61,0.0,4.37,3t,CCC1(C)CC(=O)N(CCCCN2CCN(c3cccc4sccc34)CC2)C(=O)C1,IC50,'=',253.0,nM,6.6,,,UO_0000065,,,,,False,CHEMBL4254805,Antagonist activity at histamine H1 receptor (unknown origin) after 10 mins by calcium 5 dye based FLIPR assay,F,BAO_0000019,assay format,Homo sapiens,,,,,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL4251643,1,Scientific Literature,Eur J Med Chem,2018.0,,,253.0,CCC1(C)CC(=O)N(CCCCN2CCN(c3cccc4sccc34)CC2)C(=O)C1
39,CHEMBL559664,,0.0,521.64,1.0,2.53,1,Cn1c(N2CCN(CCCN3c4ccccc4Sc4ccc(CC(=O)O)cc43)CC2)cc(=O)n(C)c1=O,IC50,'=',40.0,nM,7.4,,,UO_0000065,14.18,0.27,4.87,8.13,False,CHEMBL1775250,Displacement of [3H]pyrilamine from human histamine H1 receptor expressed in CHO-K1 cells after 60 mins by scintillation counting,B,BAO_0000219,cell-based format,Homo sapiens,,,CHO-K1,,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1772991,1,Scientific Literature,Bioorg. Med. Chem.,2011.0,CHEMBL3307512,,40.0,Cn1c(N2CCN(CCCN3c4ccccc4Sc4ccc(CC(=O)O)cc43)CC2)cc(=O)n(C)c1=O
40,CHEMBL1767142,,0.0,389.54,0.0,4.38,10g,CN1CCC[C@@H]1Cn1nc(Cc2ccc(C(C)(C)C)cc2)c2ccccc2c1=O,Ki,'=',398.11,nM,6.4,,,UO_0000065,,,,,False,CHEMBL1769655,Antagonist activity at human recombinant histamine H1 receptor expressed in intact CHO cells assessed as inhibition of histamine-induced cellular calcium mobilization by FLIPR assay,F,BAO_0000219,cell-based format,Homo sapiens,,,CHO,,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1764974,1,Scientific Literature,J. Med. Chem.,2011.0,CHEMBL3308072,,398.11,CN1CCC[C@@H]1Cn1nc(Cc2ccc(C(C)(C)C)cc2)c2ccccc2c1=O
41,CHEMBL1779060,,0.0,366.46,0.0,1.49,6,COc1ccc(C)cc1C(=O)NCCN1C2C3C4CC5C6C4C2C6C1(O)C53,Ki,,,,,,Not Determined,,,,,,False,CHEMBL1781421,Antagonist activity at histamine H1 receptor,F,BAO_0000019,assay format,,,,,,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1777734,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2011.0,,,,COc1ccc(C)cc1C(=O)NCCN1C2C3C4CC5C6C4C2C6C1(O)C53
42,CHEMBL1767157,,0.0,381.91,0.0,4.13,19,CN1CCCC1CCn1nc(Cc2ccc(Cl)cc2)c2ccccc2c1=O,Ki,'=',63.1,nM,7.2,,,UO_0000065,,,,,False,CHEMBL1769655,Antagonist activity at human recombinant histamine H1 receptor expressed in intact CHO cells assessed as inhibition of histamine-induced cellular calcium mobilization by FLIPR assay,F,BAO_0000219,cell-based format,Homo sapiens,,,CHO,,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1764974,1,Scientific Literature,J. Med. Chem.,2011.0,CHEMBL3308072,,63.1,CN1CCCC1CCn1nc(Cc2ccc(Cl)cc2)c2ccccc2c1=O
45,CHEMBL322873,,0.0,334.46,0.0,4.73,20,CC1CCCN(CCCOc2ccc(-c3ccc(C#N)cc3)cc2)C1,Ki,'=',275.42,nM,6.56,,,UO_0000065,19.61,0.36,1.83,18.09,False,CHEMBL692986,Binding affinity of human cortical histamine H1 receptor,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1134931,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2002.0,,,275.42,CC1CCCN(CCCOc2ccc(-c3ccc(C#N)cc3)cc2)C1
46,CHEMBL106545,,0.0,335.45,0.0,3.29,30,CN[C@@H]1CCN(CCCOc2ccc(-c3ccc(C#N)cc3)cc2)C1,Ki,'=',3715.35,nM,5.43,,,UO_0000065,16.19,0.3,2.14,11.24,False,CHEMBL692986,Binding affinity of human cortical histamine H1 receptor,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1134931,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2002.0,,,3715.35,CN[C@@H]1CCN(CCCOc2ccc(-c3ccc(C#N)cc3)cc2)C1
47,CHEMBL81485,,0.0,280.37,0.0,3.06,2h,CNCC1CC2c3ccccc3Cc3ccccc3N2O1,IC50,'=',10.72,nM,7.97,,,UO_0000065,28.43,0.52,4.91,32.53,False,CHEMBL857171,Binding affinity for human cloned Histamine H1 receptor expressed in CHO cells using [3H]pyrilamine as radioligand,B,BAO_0000219,cell-based format,,,,CHO,,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1135380,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2002.0,CHEMBL3308072,,10.72,CNCC1CC2c3ccccc3Cc3ccccc3N2O1
48,CHEMBL316438,,0.0,320.44,0.0,3.94,2m,c1ccc2c(c1)Cc1ccccc1N1OC(CN3CCCC3)CC21,IC50,'=',3.02,nM,8.52,,,UO_0000065,26.59,0.48,4.58,54.23,False,CHEMBL857171,Binding affinity for human cloned Histamine H1 receptor expressed in CHO cells using [3H]pyrilamine as radioligand,B,BAO_0000219,cell-based format,,,,CHO,,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1135380,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2002.0,CHEMBL3308072,,3.02,c1ccc2c(c1)Cc1ccccc1N1OC(CN3CCCC3)CC21
49,CHEMBL309904,,0.0,350.51,0.0,4.96,2f,CC(C)N(CC1CC2c3ccccc3Cc3ccccc3N2O1)C(C)C,IC50,'=',151.36,nM,6.82,,,UO_0000065,19.46,0.36,1.86,43.41,False,CHEMBL857171,Binding affinity for human cloned Histamine H1 receptor expressed in CHO cells using [3H]pyrilamine as radioligand,B,BAO_0000219,cell-based format,,,,CHO,,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1135380,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2002.0,CHEMBL3308072,,151.36,CC(C)N(CC1CC2c3ccccc3Cc3ccccc3N2O1)C(C)C
51,CHEMBL311231,,0.0,335.45,0.0,2.75,2p,c1ccc2c(c1)Cc1ccccc1N1OC(CN3CCNCC3)CC21,IC50,'>',1000.0,nM,,,,UO_0000065,,,,,False,CHEMBL857171,Binding affinity for human cloned Histamine H1 receptor expressed in CHO cells using [3H]pyrilamine as radioligand,B,BAO_0000219,cell-based format,,,,CHO,,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1135380,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2002.0,CHEMBL3308072,,1000.0,c1ccc2c(c1)Cc1ccccc1N1OC(CN3CCNCC3)CC21
53,CHEMBL17157,TERFENADINE,4.0,471.69,1.0,6.45,terfenadine,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,IC50,'=',563.0,nM,6.25,,,UO_0000065,,,,,False,CHEMBL691452,Antagonism of the human histamine H1 receptor,F,BAO_0000019,assay format,,,,,,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1150559,1,Scientific Literature,Bioorg. Med. Chem. Lett.,1997.0,,,563.0,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1
54,CHEMBL92333,,0.0,445.01,1.0,5.68,4q,Clc1cccc(N2CCN(CC3C[C@@H]4c5ccccc5Cc5ccccc5[C@H]4O3)CC2)c1,Ki,'=',471.0,nM,6.33,,,UO_0000065,14.22,0.27,0.65,40.27,False,CHEMBL691453,Ability to displace [3H]pyrilamine from human cloned histamine H1 receptor expressed in CHO cells,B,BAO_0000219,cell-based format,,,,CHO,,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1149209,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2004.0,CHEMBL3308072,,471.0,Clc1cccc(N2CCN(CC3C[C@@H]4c5ccccc5Cc5ccccc5[C@H]4O3)CC2)c1
59,CHEMBL321320,,0.0,463.0,0.0,3.75,38,O=C(c1ccc(OCCCN2CC[C@H](NS(=O)(=O)c3cccc(Cl)c3)C2)cc1)C1CC1,Ki,'=',3600.0,nM,5.44,,,UO_0000065,11.76,0.24,1.69,7.19,False,CHEMBL691613,Binding affinity to the human Histamine H1 receptor,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1134928,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2002.0,,,3600.0,O=C(c1ccc(OCCCN2CC[C@H](NS(=O)(=O)c3cccc(Cl)c3)C2)cc1)C1CC1
