,Ambit_InchiKey,Original_Entry_ID,Entrez_ID,Activity_Flag,pXC50,DB,Original_Assay_ID,Tax_ID,Gene_Symbol,Ortholog_Group,SMILES,base_rdkit_smiles
32,AVVIXBQVVAAVHK-ADEGMZDYNA-N,CHEMBL3094128,3269,A,5.6,chembl20,1280381,9606,HRH1,2055,C1=CC(=CC=C1CN2CC[C@@H](C2)NC(C=3C=CC4=C(C3)OCO4)=O)OCCCN5CCCCC5,O=C(N[C@H]1CCN(Cc2ccc(OCCCN3CCCCC3)cc2)C1)c1ccc2c(c1)OCO2
33,AVZFSLTZULXZCC-UHFFFAOYNA-N,CHEMBL603049,3269,A,7.51,chembl20,603320,9606,HRH1,2055,N1(CCC2=CC=C(C=C2)C)C=3C=CC(F)=CC3C=4CN(CCC41)C,Cc1ccc(CCn2c3c(c4cc(F)ccc42)CN(C)CC3)cc1
34,AUTKMGMMFJXIDV-UHFFFAOYNA-N,CHEMBL158780,3269,A,6.76,chembl20,605748,9606,HRH1,2055,C=1C=C2C(=CC1)CC3=C(C2CCCN)C=CC=C3,NCCCC1c2ccccc2Cc2ccccc21
35,AVBATPOOKQCBKS-QWOVJGMINA-N,CHEMBL66388,3269,A,5.39,chembl20,84430,9606,HRH1,2055,C=1(C2=C(CCCCC2)N=C3C1C=CC=C3)NCCCN4CCCC4,c1ccc2c(NCCCN3CCCC3)c3c(nc2c1)CCCCC3
36,AVFYUSOOXDDQAW-UHFFFAOYNA-N,CHEMBL563451,3269,A,8.82,chembl20,584293,9606,HRH1,2055,C1=CC=C2N(C(N3CCC(CC3)N(C)C)=NC2=C1)CC=4C=CC(=CC4)C,Cc1ccc(Cn2c(N3CCC(N(C)C)CC3)nc3ccccc32)cc1
37,ATPAZLJUTRYFNR-UHFFFAOYNA-N,CHEMBL2171021,3269,A,7.6,chembl20,862026,9606,HRH1,2055,O=S(=O)(C=1C=C(C(N2CCC(N3CCC(OC=4C=CC(=C(C4Cl)C)Cl)CC3)CC2)=O)C=CC1)C,Cc1c(Cl)ccc(OC2CCN(C3CCN(C(=O)c4cccc(S(C)(=O)=O)c4)CC3)CC2)c1Cl
38,AXVLPJHYYFHCHK-UYBDAZJANA-N,CHEMBL2440659,3269,N,4.73,chembl20,990396,9606,HRH1,2055,C1=C(C=C(C=C1OC2=CN=CN=C2)C(NC=3SC=C(N3)C)=O)F,Cc1csc(NC(=O)c2cc(F)cc(Oc3cncnc3)c2)n1
39,AYEYSXMZCARQKR-AWEZNQCLNA-N,CHEMBL556506,3269,A,8.89,chembl20,718096,9606,HRH1,2055,C1=CC=C2C(=C1)CC(=C2[C@H](C3=CN=CC=N3)C)CCN(C)C,C[C@H](C1=C(CCN(C)C)Cc2ccccc21)c1cnccn1
40,BXUKKRHEMKVWOY-UHFFFAOYNA-N,CHEMBL1765111,3269,A,7.8,chembl20,741663,9606,HRH1,2055,C=1(C=CC(OCCCN2CCCCCC2)=CC1)CCN3CCCC(N4N=C(CC5=CC=C(Cl)C=C5)C=6C(C4=O)=CC=CC6)CC3,O=c1c2ccccc2c(Cc2ccc(Cl)cc2)nn1C1CCCN(CCc2ccc(OCCCN3CCCCCC3)cc2)CC1
41,BUCORZSTKDOEKQ-SDXDJHTJNA-N,2712,3269,A,5.74594,pubchem,625269,9606,HRH1,2055,ClC1=CC2=C(N(O)C/C(/N=C2C=C1)=N/C)C3=CC=CC=C3,C/N=C1/CN(O)C(c2ccccc2)=c2cc(Cl)ccc2=N1
42,CBEQULMOCCWAQT-WOJGMQOQNA-N,CHEMBL855,3269,A,9.9,chembl20,689142,9606,HRH1,2055,N1=C(/C(/C2=CC=C(C=C2)C)=C/CN3CCCC3)C=CC=C1,Cc1ccc(/C(=C\CN2CCCC2)c2ccccn2)cc1
43,CCXXDPNVVABEGJ-SREBMQDQNA-N,CHEMBL2158825,3269,A,7.8,chembl20,856370,9606,HRH1,2055,C1(=C(C=CC(=C1)OC2CCN(CC2)CC3CCN(CC3)C4=CC=CC=C4CC(=O)O)Cl)Cl,O=C(O)Cc1ccccc1N1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1
44,BYMRLNXYRMIIKD-UHFFFAOYNA-N,CHEMBL256650,3269,A,5.5,chembl20,465005,9606,HRH1,2055,C1=CC=C2N=C(C=CC2=C1C3=NN=C(SCCN4CCC5=CC6=C(C=C5CC4)N=C(O6)C)N3C)C,Cc1ccc2c(-c3nnc(SCCN4CCc5cc6nc(C)oc6cc5CC4)n3C)cccc2n1
45,CABAUJLNRQAJJX-UJHKPSPNNA-N,90667241,3269,N,,pubchem,1122375,9606,HRH1,2055,N(CCCCC1=NNN=C1)/C(/NC#N)=N/C,C/N=C(\NC#N)NCCCCc1cn[nH]n1
46,AGNYFINNIVFBHA-UBXIPSODNA-N,CHEMBL147077,3269,A,6.31,chembl20,84428,9606,HRH1,2055,C1(C(C(C(=O)NCCCN2CCC(CC2)(C(=O)OC)C3=CC=CC=C3)=C(N=C1C)C)C=4C=CC(N(=O)=O)=CC4)C(=O)NC,CNC(=O)C1C(C)=NC(C)=C(C(=O)NCCCN2CCC(C(=O)OC)(c3ccccc3)CC2)C1c1ccc([N+](=O)[O-])cc1
47,AHIOIWMCDDMDRL-UHFFFAOYNA-N,CHEMBL330172,3269,A,8.2,chembl20,84418,9606,HRH1,2055,C=1(N(C2=CC=CC=C2N1)CC=3C=NC=CC3)C(C4CCN(CC4)CCC5(CN(C(C6=CC(OC)=C(C(=C6)OC)OC)=O)CC5)C=7C=CC=CC7)=O,COc1cc(C(=O)N2CCC(CCN3CCC(C(=O)c4nc5ccccc5n4Cc4cccnc4)CC3)(c3ccccc3)C2)cc(OC)c1OC
48,ACQBHJXEAYTHCY-HCKMINDGNA-N,CHEMBL14638,3269,A,5.6,chembl20,1280381,9606,HRH1,2055,N1C=NC(CCCOC=2C=CC(=CC2)C(C3CC3)=O)=C1,O=C(c1ccc(OCCCc2c[nH]cn2)cc1)C1CC1
49,ACRMNEFOWLXFLY-UHFFFAOYNA-N,CHEMBL272694,3269,A,5.7,chembl20,465005,9606,HRH1,2055,C1=CC=C2C(=C1C=3N(C(SCCCN4CCC=5C(CC4)=CC6=C(C5C)OC(=N6)C)=NN3)C)C=CC(C)=N2,Cc1ccc2c(-c3nnc(SCCCN4CCc5cc6nc(C)oc6c(C)c5CC4)n3C)cccc2n1
50,ACTVOFFLDWZANE-KHMGXFTDNA-N,CHEMBL96732,3269,A,7.57,chembl20,84421,9606,HRH1,2055,[C@H]12[C@H](C=3C(=CC=CC3)CC4=C1C=CC=C4)CC(O2)CN(C)C,CN(C)CC1C[C@H]2c3ccccc3Cc3ccccc3[C@H]2O1
51,ACTVOFFLDWZANE-NSISKUIANA-N,CHEMBL329566,3269,A,9.27,chembl20,84421,9606,HRH1,2055,[C@H]12[C@@H](C=3C(=CC=CC3)CC4=C1C=CC=C4)C[C@@H](O2)CN(C)C,CN(C)C[C@H]1C[C@@H]2c3ccccc3Cc3ccccc3[C@H]2O1
52,ACTVOFFLDWZANE-ODFWGIBRNA-N,CHEMBL92667,3269,A,9.15,chembl20,84421,9606,HRH1,2055,[C@H]12[C@@H](C=3C(=CC=CC3)CC4=C1C=CC=C4)CC(O2)CN(C)C,CN(C)CC1C[C@@H]2c3ccccc3Cc3ccccc3[C@H]2O1
53,ACTVOFFLDWZANE-PWIZWCRZNA-N,CHEMBL329268,3269,A,9.2,chembl20,84421,9606,HRH1,2055,[C@H]12[C@@H](C=3C(=CC=CC3)CC4=C1C=CC=C4)C[C@H](O2)CN(C)C,CN(C)C[C@@H]1C[C@@H]2c3ccccc3Cc3ccccc3[C@H]2O1
54,ACTVOFFLDWZANE-VDGAXYAQNA-N,CHEMBL327651,3269,A,8.43,chembl20,84421,9606,HRH1,2055,[C@@H]12[C@H](C=3C(=CC=CC3)CC4=C1C=CC=C4)C[C@H](O2)CN(C)C,CN(C)C[C@@H]1C[C@H]2c3ccccc3Cc3ccccc3[C@@H]2O1
55,ACTVOFFLDWZANE-ZNCRQWOUNA-N,CHEMBL371352,3269,A,9.37,chembl20,303185,9606,HRH1,2055,[C@H]12C(C3=C(C=CC=C3)CC4=C1C=CC=C4)C[C@@H](O2)CN(C)C,CN(C)C[C@H]1CC2c3ccccc3Cc3ccccc3[C@H]2O1
56,ADLLYWYUHVDQBH-UHFFFAOYNA-N,CHEMBL1669412,3269,A,8.37,chembl20,718096,9606,HRH1,2055,C1=CC=C2C(=C1)CC(=C2CC3=CN=CC=N3)CCN4CCC4,c1ccc2c(c1)CC(CCN1CCC1)=C2Cc1cnccn1
57,ADZSGFZICHOKOJ-UHFFFAOYNA-N,CHEMBL322194,3269,A,8.19,chembl20,84418,9606,HRH1,2055,C1(=NC2=CC=CC=C2N1CCOCC)C(C3CCN(CC3)CCC4(CN(C(C5=CC(OC)=C(C(=C5)OC)OC)=O)CC4)C=6C=CC=CC6)=O,CCOCCn1c(C(=O)C2CCN(CCC3(c4ccccc4)CCN(C(=O)c4cc(OC)c(OC)c(OC)c4)C3)CC2)nc2ccccc21
58,AEWQIKDEAWAPPV-SREBMQDQNA-N,CHEMBL2171022,3269,A,7.0,chembl20,862026,9606,HRH1,2055,C1(=C(C=CC(=C1)OC2CCN(CC2)C3CCN(CC3)C(=O)C4=CC(=CC=C4)OCC(=O)O)Cl)Cl,O=C(O)COc1cccc(C(=O)N2CCC(N3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)c1
59,AIESXMXVDNOKQF-HXUWFJFHNA-N,CHEMBL2111767,24448,A,5.44,chembl20,84704,10116,HRH1,2055,[C@H]1(C2=C(C=C(C=C2)Cl)CCC3=C1N=CC=C3)N4CCN(CC4)C(=O)C,CC(=O)N1CCN([C@@H]2c3ccc(Cl)cc3CCc3cccnc32)CC1
60,AIESXMXVDNOKQF-UHFFFAOYNA-N,CHEMBL326821,24448,A,5.27,chembl20,84704,10116,HRH1,2055,C1(C2=C(C=C(C=C2)Cl)CCC3=C1N=CC=C3)N4CCN(CC4)C(=O)C,CC(=O)N1CCN(C2c3ccc(Cl)cc3CCc3cccnc32)CC1
61,AIGMIQVSRPRWAQ-CQSZACIVNA-N,CHEMBL1090186,3269,A,8.89,chembl20,625162,9606,HRH1,2055,C1(=CC=C2C(=C(CCN(C)C)CC2=C1)[C@@H](C)C=3N=CC=NC3OC)OC,COc1ccc2c(c1)CC(CCN(C)C)=C2[C@@H](C)c1nccnc1OC
62,ABDWUBPDHWDFCV-CYBMUJFWNA-N,CHEMBL1090526,3269,A,9.15,chembl20,760134,9606,HRH1,2055,C1(=CC=C2C(=C(CCN(C)C)CC2=C1)[C@@H](C)C3=C(N=CC=N3)OC)F,COc1nccnc1[C@H](C)C1=C(CCN(C)C)Cc2cc(F)ccc21
63,ABOWDNIHZHLENL-UHFFFAOYNA-N,CHEMBL270853,3269,A,5.6,chembl20,465005,9606,HRH1,2055,C1=CC=C2N=C(C=CC2=C1C=3N(C(SCCCCN4CCC5=CC6=C(C=C5CC4)CN(C6=O)C)=NN3)C)C,Cc1ccc2c(-c3nnc(SCCCCN4CCc5cc6c(cc5CC4)C(=O)N(C)C6)n3C)cccc2n1
64,BMMSDSQQAGDCHS-VHKGTHMQNA-N,CHEMBL302005,3269,A,7.96,chembl20,875630,9606,HRH1,2055,C/1(\C2=C(OCC=3C1=CC=CC3)C=CC(=C2)CC(O)=O)=C/CN(C)C,CN(C)C/C=C1\c2ccccc2COc2ccc(CC(=O)O)cc21
65,BPDWWCSMAZGENY-XERRNIMFNA-N,54586256,3269,A,7.200660000000001,pubchem,595800,9606,HRH1,2055,O1C2=C(/C(=C\CCN3CCCN(CC3)C=4N(C(=O)N(C(=O)C4)C)C)/C=5C(C1)=CC=CC5)C=C(C=C2)C(O)=O,Cn1c(N2CCCN(CC/C=C3/c4ccccc4COc4ccc(C(=O)O)cc43)CC2)cc(=O)n(C)c1=O
66,BOQXUEKBVIXPKQ-KTWFDGLBNA-N,16082828,3269,A,5.16749,pubchem,270370,9606,HRH1,2055,ClC1=CC=C(CNCC[C@H]2[C@@H](C2)C=3NC=NC3)C=C1,Clc1ccc(CNCC[C@@H]2C[C@H]2c2cnc[nH]2)cc1
67,BOQXUEKBVIXPKQ-OGQVNEIMNA-N,16082831,3269,A,5.0705800000000005,pubchem,270370,9606,HRH1,2055,ClC1=CC=C(CNCC[C@@H]2[C@H](C2)C=3NC=NC3)C=C1,Clc1ccc(CNCC[C@H]2C[C@@H]2c2cnc[nH]2)cc1
68,BOQXUEKBVIXPKQ-XXEMXDGBNA-N,CHEMBL214311,3269,A,5.07,chembl20,393882,9606,HRH1,2055,[C@H]1(C=2N=CNC2)C[C@@H]1CCNCC3=CC=C(C=C3)Cl,Clc1ccc(CNCC[C@H]2C[C@@H]2c2c[nH]cn2)cc1
69,BOQXUEKBVIXPKQ-ZGVMUQIQNA-N,CHEMBL213886,3269,A,5.17,chembl20,393882,9606,HRH1,2055,[C@@H]1(C=2N=CNC2)C[C@H]1CCNCC3=CC=C(C=C3)Cl,Clc1ccc(CNCC[C@@H]2C[C@H]2c2c[nH]cn2)cc1
70,BKRGVLQUQGGVSM-WPXWUSHPNA-N,CHEMBL157138,3269,A,7.72,chembl20,774767,9606,HRH1,2055,C1=2C[C@@H](CN(C1=CC=3C=4C2C=CCC4NC3)C)NC(N(CC)CC)=O,CCN(CC)C(=O)N[C@H]1Cc2c(cc3c[nH]c4c3c2C=CC4)N(C)C1
71,BODDNEXOKSACRX-NKDUXHERNA-N,CHEMBL61348,24448,A,6.7,chembl20,84710,10116,HRH1,2055,N1=CNC=C1CCCC(=N)NCCC(C2=CC=C(C=C2)Cl)C3=NC=CC=C3,N=C(CCCc1c[nH]cn1)NCCC(c1ccc(Cl)cc1)c1ccccn1
72,CPDKHEPGGZULPR-UHFFFAOYNA-N,CHEMBL478617,3269,A,6.2,chembl20,490811,9606,HRH1,2055,C12N(CCCC(C3=CC=C(C=C3)F)=O)C(CC(O)(C4=CC=CC=C4)C1)CC2,O=C(CCCN1C2CCC1CC(O)(c1ccccc1)C2)c1ccc(F)cc1
73,CPSGCDLKARETBW-UHFFFAOYNA-N,CHEMBL3289442,3269,A,5.09,chembl20,1362943,9606,HRH1,2055,C12(CCN(CC1)CC3(CCN(CC3)C(OCC)=O)C)CN(C=4N=CC=CC42)S(C)(=O)=O,CCOC(=O)N1CCC(C)(CN2CCC3(CC2)CN(S(C)(=O)=O)c2ncccc23)CC1
74,CQGTWGRGLDAJSE-UHFFFAOYNA-N,CHEMBL82714,3269,A,8.78,chembl20,84540,9606,HRH1,2055,N12C(C3=C(C=CC=C3)CC4=C1C=CC=C4)CC(O2)(CN(C)C)C,CN(C)CC1(C)CC2c3ccccc3Cc3ccccc3N2O1
75,CQJJYGDKIDMYJM-UHFFFAOYNA-N,CHEMBL310018,3269,A,6.17,chembl20,84540,9606,HRH1,2055,N12C(C3=C(C=CC=C3)CC4=C1C=CC=C4)CC(O2)CCCN(C)C,CN(C)CCCC1CC2c3ccccc3Cc3ccccc3N2O1
76,CLQMFOOMFPNKNA-NUQOIIOLNA-N,59296000,3269,A,7.7000600000000015,pubchem,719511,9606,HRH1,2055,ClC=1C=C(OC2CCN(CC2)C[C@H](O)CNC(=O)N3C4=C(N=C3O)C=CC=C4)C=CC1Cl,O=C(NC[C@@H](O)CN1CCC(Oc2ccc(Cl)c(Cl)c2)CC1)n1c(O)nc2ccccc21
77,CEUORZQYGODEFX-HXTKINSTNA-N,CHEMBL1112,3269,A,7.0,chembl20,1329741,9606,HRH1,2055,C1(=CC=CC(=C1Cl)N2CCN(CCCCOC=3C=CC4=C(C3)NC(CC4)=O)CC2)Cl,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1
78,CEXVQARQHVKRBU-RMNMTYGKNA-N,CHEMBL93321,3269,A,8.02,chembl20,84421,9606,HRH1,2055,[C@H]12[C@@H](C=3C(=CC=CC3)OCC4=C1C=CC=C4)CC(O2)CN(C)C,CN(C)CC1C[C@@H]2c3ccccc3OCc3ccccc3[C@H]2O1
79,CHZUEGVOEFMIJH-UHFFFAOYNA-N,73355415,3269,A,5.32459,pubchem,772786,9606,HRH1,2055,N(CC12C3C4C1C5C2C3C45)C6C7C8C9C7CC%10C6C8CC9%10,C1C2C3CC4C2C(NCC25C6C7C8C6C2C8C75)C2C1C3C42
