"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL264761";"";"0";"360.45";"0";"2.99";"57";"C=C(C)C(=O)c1ccc(OCCCN2CCN(C(=O)OCC)CC2)cc1";"Ki";"'='";"977.24";"nM";"6.01";"";"";"UO_0000065";"16.67";"0.32";"3.02";"10.17";"False";"CHEMBL692991";"Binding affinity for the human Histamine H1 Receptor";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135198";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2002";"None";""
"CHEMBL104669";"";"0";"322.41";"0";"3.06";"27";"N#Cc1ccc(-c2ccc(OCCCN3CC[C@@H](O)C3)cc2)cc1";"Ki";"'='";"4466.84";"nM";"5.35";"";"";"UO_0000065";"16.59";"0.30";"2.29";"9.47";"False";"CHEMBL697082";"Binding affinity at human cortical Histamine 1 receptor";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134931";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2002";"None";""
"CHEMBL419912";"";"0";"369.47";"0";"3.29";"9";"CCOC(=O)N1CCN(CCCOc2ccc(-c3ccncc3)cc2)CC1";"Ki";"'='";"3715.35";"nM";"5.43";"";"";"UO_0000065";"14.70";"0.27";"2.14";"9.89";"False";"CHEMBL692986";"Binding affinity of human cortical histamine H1 receptor";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134931";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2002";"None";""
"CHEMBL4452406";"";"0";"269.35";"0";"3.17";"4o";"COc1cccc(-c2nc(N)nc3c2CCCC3C)c1";"Activity";"";"";"";"";"";"Not Active";"";"";"";"";"";"False";"CHEMBL4394806";"Agonist activity at H1R (unknown origin) expressed in HEK293 cells harboring luc2P/NFAT-RE plasmid at 10 uM after 6 to 8 hrs by luciferase reporter gene assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4393678";"1";"Scientific Literature";"J Med Chem";"2019";"CHEMBL3307715";""
"CHEMBL4456972";"";"0";"257.31";"0";"3.30";"4f";"CC1CCCc2c(-c3ccc(F)cc3)nc(N)nc21";"Inhibition";"";"";"";"";"";"Not Active";"";"";"";"";"";"False";"CHEMBL4394807";"Antagonist activity at H1R (unknown origin) expressed in HEK293 cells harboring luc2P/NFAT-RE plasmid at 10 uM after 6 to 8 hrs by luciferase reporter gene assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4393678";"1";"Scientific Literature";"J Med Chem";"2019";"CHEMBL3307715";""
"CHEMBL101692";"";"0";"357.45";"0";"3.22";"14";"CCOC(=O)N1CCN(CCCOc2ccc(-c3cc[nH]c3)cc2)CC1";"Ki";"'='";"501.19";"nM";"6.30";"";"";"UO_0000065";"17.62";"0.33";"3.08";"10.90";"False";"CHEMBL692986";"Binding affinity of human cortical histamine H1 receptor";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134931";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2002";"None";""
"CHEMBL274767";"";"0";"333.48";"0";"4.46";"12";"NCCc1c[nH]c(CCCCC(c2ccccc2)c2ccccc2)n1";"pKp";"'='";"6.21";"";"";"";"";"";"";"";"";"";"False";"CHEMBL692996";"Negative logarithm of receptor dissociation constant Kp was reported in guinea pig ileum whole segments.";"F";"BAO_0000221";"tissue-based format";"guinea pig";"CHEMBL3638244";"Ileum";"None";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1132974";"1";"Scientific Literature";"J. Med. Chem.";"2000";"None";""
"CHEMBL67601";"";"0";"382.43";"0";"4.15";"13";"CC(CCCCC(=O)Nc1ccc(C(F)(F)F)cc1)NCCc1c[nH]cn1";"Effect";"'='";"";"";"";"Potential missing data";"";"";"";"";"";"";"False";"CHEMBL686792";"Effect on histamine type 1 receptor mediated contraction of the isolated rabbit aorta was determined; no data";"F";"BAO_0000221";"tissue-based format";"Oryctolagus cuniculus";"CHEMBL3638186";"Aorta";"None";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1123649";"1";"Scientific Literature";"J. Med. Chem.";"1987";"None";""
"CHEMBL257716";"";"0";"518.09";"2";"5.22";"37";"Cc1ccc2c(-c3nnc(SCCCN4CCc5nc6ccc(Cl)cn6c5CC4)n3C)cccc2n1";"Ki";"'='";"1000.0";"nM";"6.00";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL931103";"Antagonist activity at histamine H1 receptor by FLIPR assay";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1143157";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2008";"None";""
"CHEMBL256488";"";"0";"548.66";"2";"6.17";"28";"Cc1ccc2c(-c3nnc(SCCCN4CCc5ccc6nc(C(C)(F)F)oc6c5CC4)n3C)cccc2n1";"Ki";"'='";"1584.89";"nM";"5.80";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL931103";"Antagonist activity at histamine H1 receptor by FLIPR assay";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1143157";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2008";"None";""
"CHEMBL264007";"";"0";"740.82";"2";"7.30";"7";"COc1cc(C(=O)N2CCC(CCN3CCC(C(=O)c4nc5ccccc5n4Cc4ccc(F)cc4)CC3)(c3ccc(F)cc3F)C2)cc(OC)c1OC";"IC50";"'='";"6.36";"nM";"8.20";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL840937";"Antagonistic activity against histamine H1 receptor";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129219";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"1997";"None";""
"CHEMBL1201190";"LEVOCETIRIZINE DIHYDROCHLORIDE";"4";"461.82";"0";"3.15";"5";"Cl.Cl.O=C(O)COCCN1CCN([C@H](c2ccccc2)c2ccc(Cl)cc2)CC1";"Ki";"'='";"50.0";"nM";"7.30";"";"";"UO_0000065";"18.77";"0.37";"4.15";"13.77";"False";"CHEMBL828797";"Binding affinity for H1 histamine receptor expressed in CHO cells";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"CHO";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142741";"1";"Scientific Literature";"J. Med. Chem.";"2005";"CHEMBL3308072";""
"CHEMBL97357";"";"0";"773.73";"2";"8.33";"5";"COc1cc(C(=O)N2CCC(CCN3CCC(C(=O)c4nc5ccccc5n4Cc4ccc(F)cc4)CC3)(c3ccc(Cl)c(Cl)c3)C2)cc(OC)c1OC";"IC50";"'='";"6.55";"nM";"8.18";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL840937";"Antagonistic activity against histamine H1 receptor";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129219";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"1997";"None";""
"CHEMBL214311";"";"0";"275.78";"0";"3.35";"ent-11a";"Clc1ccc(CNCC[C@H]2C[C@@H]2c2c[nH]cn2)cc1";"EC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL854648";"Agonist activity at human H1 receptor expressed in 293-EBNA cells by luciferase reporter gene assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"EBNA";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146915";"1";"Scientific Literature";"J. Med. Chem.";"2006";"None";""
"CHEMBL320003";"";"0";"665.62";"2";"6.66";"15";"COc1cc(C(=O)N2CCC(CCN3CCC(C(=O)c4nc5ccccc5[nH]4)CC3)(c3ccc(Cl)c(Cl)c3)C2)cc(OC)c1OC";"IC50";"'='";"6.39";"nM";"8.19";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL840937";"Antagonistic activity against histamine H1 receptor";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129219";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"1997";"None";""
"CHEMBL430471";"";"0";"788.94";"2";"7.39";"24";"COc1cc(C(=O)N2CCC(CCN3CCC(C(=O)c4nc5ccccc5n4CCCCOc4ccccc4C(=O)O)CC3)(c3ccccc3)C2)cc(OC)c1OC";"IC50";"'='";"5.04";"nM";"8.30";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL840937";"Antagonistic activity against histamine H1 receptor";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129219";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"1997";"None";""
"CHEMBL197669";"ST1535";"1";"272.32";"0";"0.87";"25b, ST-1535";"CCCCc1nc(N)c2nc(-n3nccn3)n(C)c2n1";"Inhibition";"'<'";"10.0";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL881989";"Percent inhibition against Histamine H1 receptor at 1 uM";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140374";"1";"Scientific Literature";"J. Med. Chem.";"2005";"None";""
"CHEMBL201933";"";"0";"348.45";"0";"2.43";"23";"COC1(C#CC(O)(c2ccccc2)c2ccncc2)CN2CCC1CC2";"Inhibition";"";"";"";"";"";"Not Active";"";"";"";"";"";"False";"CHEMBL870596";"Inhibition of histamine H1 receptor at 10 uM";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1147773";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2006";"None";""
"CHEMBL196258";"";"0";"286.34";"0";"1.26";"25c";"CCCCCc1nc(N)c2nc(-n3nccn3)n(C)c2n1";"Inhibition";"'<'";"10.0";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL881989";"Percent inhibition against Histamine H1 receptor at 1 uM";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140374";"1";"Scientific Literature";"J. Med. Chem.";"2005";"None";""
"CHEMBL285802";"ZOTEPINE";"4";"331.87";"0";"4.88";"zotepine";"CN(C)CCOC1=Cc2ccccc2Sc2ccc(Cl)cc21";"Ki";"'='";"3.4";"nM";"8.47";"";"";"UO_0000065";"25.52";"0.53";"3.59";"67.91";"False";"CHEMBL691615";"Binding affinity towards human histamine H1 receptor";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1149193";"1";"Scientific Literature";"J. Med. Chem.";"2004";"None";""
"CHEMBL4286717";"";"0";"427.61";"0";"4.37";"3t";"CCC1(C)CC(=O)N(CCCCN2CCN(c3cccc4sccc34)CC2)C(=O)C1";"IC50";"'='";"253.0";"nM";"6.60";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL4254805";"Antagonist activity at histamine H1 receptor (unknown origin) after 10 mins by calcium 5 dye based FLIPR assay";"F";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4251643";"1";"Scientific Literature";"Eur J Med Chem";"2018";"None";""
"CHEMBL559664";"";"0";"521.64";"1";"2.53";"1";"Cn1c(N2CCN(CCCN3c4ccccc4Sc4ccc(CC(=O)O)cc43)CC2)cc(=O)n(C)c1=O";"IC50";"'='";"40.0";"nM";"7.40";"";"";"UO_0000065";"14.18";"0.27";"4.87";"8.13";"False";"CHEMBL1775250";"Displacement of [3H]pyrilamine from human histamine H1 receptor expressed in CHO-K1 cells after 60 mins by scintillation counting";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO-K1";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1772991";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2011";"CHEMBL3307512";""
"CHEMBL1767142";"";"0";"389.54";"0";"4.38";"10g";"CN1CCC[C@@H]1Cn1nc(Cc2ccc(C(C)(C)C)cc2)c2ccccc2c1=O";"Ki";"'='";"398.11";"nM";"6.40";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL1769655";"Antagonist activity at human recombinant histamine H1 receptor expressed in intact CHO cells assessed as inhibition of histamine-induced cellular calcium mobilization by FLIPR assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1764974";"1";"Scientific Literature";"J. Med. Chem.";"2011";"CHEMBL3308072";""
"CHEMBL1779060";"";"0";"366.46";"0";"1.49";"6";"COc1ccc(C)cc1C(=O)NCCN1C2C3C4CC5C6C4C2C6C1(O)C53";"Ki";"";"";"";"";"";"Not Determined";"";"";"";"";"";"False";"CHEMBL1781421";"Antagonist activity at histamine H1 receptor";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1777734";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2011";"None";""
