compound_id,standard_inchi_key,compound_name,synonym,target_id,target_pref_name,gene_names,wildtype_or_mutant,mutation_info,pubmed_id,standard_type,standard_relation,standard_value,standard_units,activity_comment,ep_action_mode,assay_format,assaytype,assay_subtype,inhibitor_type,detection_tech,assay_cell_line,compound_concentration_value,compound_concentration_value_unit,substrate_type,substrate_relation,substrate_value,substrate_units,assay_description,title,journal,doc_type,annotation_comments
CHEMBL256659,ABWRXTVIPWIMTE-UHFFFAOYSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,18178090.0,KI,<,3162.28,NM,,,,,,,,,,,,,,,Antagonist activity at histamine H1 receptor by FLIPR assay,New fused benzazepine as selective D3 receptor antagonists. Synthesis and biological evaluation. Part 2: [g]-fused and hetero-fused systems.,Bioorg. Med. Chem. Lett.,PUBLICATION,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,-1.0,IC50,=,11000,NM,,,,binding,,,,,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,-1.0,IC50,=,17000,NM,,,,binding,,,,,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,-1.0,IC50,=,23000,NM,,,,binding,,,,,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,-1.0,Ki,=,20.6,NM,,,cell_based,binding,,,,,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,-1.0,Ki,=,58.8,NM,,,cell_based,binding,,,,,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,-1.0,Ki,=,140,NM,,,,binding,,,,,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,27639363.0,Ki,=,16.6,NM,,,,,,,,,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,27639363.0,Ki,=,115,NM,,,,,,,,,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,27639363.0,Ki,=,186,NM,,,,,,,,,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,27639363.0,Ki,=,1998,NM,,,,,,,,,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,27717652.0,Ki,=,24,NM,,,,,,,,,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,27717652.0,Ki,=,247,NM,,,,,,,,,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,27717652.0,Ki,=,268,NM,,,,,,,,,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,27717652.0,Ki,=,290,NM,,,,,,,,,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,27717652.0,Ki,=,293,NM,,,,,,,,,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,27717652.0,Ki,=,327,NM,,,,,,,,,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,27717652.0,Ki,=,553,NM,,,,,,,,,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,27717652.0,Ki,=,560,NM,,,,,,,,,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,27717652.0,Ki,=,822,NM,,,,,,,,,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,27717652.0,Ki,=,998,NM,,,,,,,,,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,27717652.0,Ki,=,1087,NM,,,,,,,,,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,27717652.0,Ki,=,1437,NM,,,,,,,,,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,27717652.0,Ki,=,3224,NM,,,,,,,,,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,27717652.0,Ki,=,3867,NM,,,,,,,,,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,27839919.0,KI,>,10000,NM,,,cell_based,binding,,,,,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,6146381.0,KI,=,5.8,NM,,,,,,,,,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,11809864.0,KI,=,5.01,NM,,,,,,,,,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,11809864.0,KI,=,63.1,NM,,,,,,,,,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,12065734.0,KI,=,6.31,NM,,,,,,,,,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,12065734.0,KI,=,8.91,NM,,,,,,,,,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,12649361.0,KI,=,10000,NM,,,,,,,,,,,,,,,,,,,
CHEMBL765,ACGDKVXYNVEAGU-UHFFFAOYSA-N,GUANETHIDINE,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,,IC50,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,,CHO-K1,,,,,,,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL765,ACGDKVXYNVEAGU-UHFFFAOYSA-N,GUANETHIDINE,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,,KI,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,,CHO-K1,,,,,,,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL496,ACGUYXCXAPNIKK-UHFFFAOYSA-N,HEXACHLOROPHENE,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,,IC50,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,,CHO-K1,,,,,,,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL496,ACGUYXCXAPNIKK-UHFFFAOYSA-N,HEXACHLOROPHENE,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,,KI,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,,CHO-K1,,,,,,,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL14638,ACQBHJXEAYTHCY-UHFFFAOYSA-N,CIPROXIFAN,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,12606603.0,KI,=,10000,NM,,,,,,,,,,,,,,,,,,,
CHEMBL14638,ACQBHJXEAYTHCY-UHFFFAOYSA-N,CIPROXIFAN,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,15033391.0,KI,=,10000,NM,,,,,,,,,,,,,,,,,,,
CHEMBL14638,ACQBHJXEAYTHCY-UHFFFAOYSA-N,CIPROXIFAN,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,15608078.0,KI,=,10000,NM,,,,,,,,,,,,,,,,,,,
CHEMBL14638,ACQBHJXEAYTHCY-UHFFFAOYSA-N,CIPROXIFAN,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,18683917.0,KI,>,10000,NM,,,,,,,,,,,,,,,Displacement of [3H]mepyramine from human histamine H1 receptor,The alkaloid conessine and analogues as potent histamine H3 receptor antagonists.,J. Med. Chem.,PUBLICATION,
CHEMBL14638,ACQBHJXEAYTHCY-UHFFFAOYSA-N,CIPROXIFAN,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,24161834.0,KI,>,2511.89,NM,,,cell_based,,,,,,,,,,,,Antagonist activity at human recombinant histamine H1 receptor expressed in CHO cells assessed as inhibition of histamine-induced effect by FLIPR assay,The discovery of the benzazepine class of histamine H3 receptor antagonists.,Bioorg. Med. Chem. Lett.,PUBLICATION,
CHEMBL272694,ACRMNEFOWLXFLY-UHFFFAOYSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,18248991.0,KI,>,1995.26,NM,,,,,,,,,,,,,,,Antagonist activity at histamine H1 receptor by FLIPR assay,New fused benzazepine as selective D3 receptor antagonists. Synthesis and biological evaluation. Part one: [h]-fused tricyclic systems.,Bioorg. Med. Chem. Lett.,PUBLICATION,
CHEMBL96732,ACTVOFFLDWZANE-KHMGXFTDSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,15125929.0,KI,=,27,NM,,,cell_based,,,,,CHO,,,,,,,Ability to displace [3H]pyrilamine from human cloned histamine H1 receptor expressed in CHO cells,"Synthesis and structure-activity relationship of 2-(aminoalkyl)-3,3a,8,12b-tetrahydro-2H-dibenzocyclohepta[1,2-b]furan derivatives: a novel series of 5-HT(2A/2C) receptor antagonists.",Bioorg. Med. Chem. Lett.,PUBLICATION,
CHEMBL329566,ACTVOFFLDWZANE-NSISKUIASA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,15125929.0,KI,=,0.54,NM,,,cell_based,,,,,CHO,,,,,,,Ability to displace [3H]pyrilamine from human cloned histamine H1 receptor expressed in CHO cells,"Synthesis and structure-activity relationship of 2-(aminoalkyl)-3,3a,8,12b-tetrahydro-2H-dibenzocyclohepta[1,2-b]furan derivatives: a novel series of 5-HT(2A/2C) receptor antagonists.",Bioorg. Med. Chem. Lett.,PUBLICATION,
CHEMBL329566,ACTVOFFLDWZANE-NSISKUIASA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,15771415.0,KI,=,0.43,NM,,,,,,,,,,,,,,,Inhibition of [3H]pyrilamine binding to human Histamine H1 receptor ,Discovery of new tetracyclic tetrahydrofuran derivatives as potential broad-spectrum psychotropic agents.,J. Med. Chem.,PUBLICATION,
CHEMBL92667,ACTVOFFLDWZANE-ODFWGIBRSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,15125929.0,KI,=,0.7,NM,,,cell_based,,,,,CHO,,,,,,,Ability to displace [3H]pyrilamine from human cloned histamine H1 receptor expressed in CHO cells,"Synthesis and structure-activity relationship of 2-(aminoalkyl)-3,3a,8,12b-tetrahydro-2H-dibenzocyclohepta[1,2-b]furan derivatives: a novel series of 5-HT(2A/2C) receptor antagonists.",Bioorg. Med. Chem. Lett.,PUBLICATION,
CHEMBL329268,ACTVOFFLDWZANE-PWIZWCRZSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,15125929.0,KI,=,0.63,NM,,,cell_based,,,,,CHO,,,,,,,Ability to displace [3H]pyrilamine from human cloned histamine H1 receptor expressed in CHO cells,"Synthesis and structure-activity relationship of 2-(aminoalkyl)-3,3a,8,12b-tetrahydro-2H-dibenzocyclohepta[1,2-b]furan derivatives: a novel series of 5-HT(2A/2C) receptor antagonists.",Bioorg. Med. Chem. Lett.,PUBLICATION,
CHEMBL327651,ACTVOFFLDWZANE-VDGAXYAQSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,15125929.0,KI,=,3.74,NM,,,cell_based,,,,,CHO,,,,,,,Ability to displace [3H]pyrilamine from human cloned histamine H1 receptor expressed in CHO cells,"Synthesis and structure-activity relationship of 2-(aminoalkyl)-3,3a,8,12b-tetrahydro-2H-dibenzocyclohepta[1,2-b]furan derivatives: a novel series of 5-HT(2A/2C) receptor antagonists.",Bioorg. Med. Chem. Lett.,PUBLICATION,
CHEMBL1069,ACWBQPMHZXGDFX-QFIPXVFZSA-N,VALSARTAN,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,,IC50,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,,CHO-K1,,,,,,,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL1069,ACWBQPMHZXGDFX-QFIPXVFZSA-N,VALSARTAN,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,,KI,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,,CHO-K1,,,,,,,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL2030634,ADGIWWYGVBZYMC-UHFFFAOYSA-N,N-(CYCLOHEXYLMETHYL)PYRROLIDINE,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,22607684.0,INHIBITION,<,50,%,,,,,,,,,,,,,,,Inhibition of H1 receptor at 10 uM,7-Azabicyclo[2.2.1]heptane as a scaffold for the development of selective sigma-2 (s(2)) receptor ligands.,Bioorg. Med. Chem. Lett.,PUBLICATION,
CHEMBL249797,ADICJNUDACADIN-UHFFFAOYSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,17892934.0,INHIBITION,=,2,%,,,,,,,,,,,,,,,Binding affinity at histamine H1 receptor at 1 uM,Discovery of 5-HT6 receptor ligands based on virtual HTS.,Bioorg. Med. Chem. Lett.,PUBLICATION,
CHEMBL1669412,ADLLYWYUHVDQBH-UHFFFAOYSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,21232954.0,KI,=,4.3,NM,,,,,,,,,,,,,,,Binding affinity to histamine H1 receptor,Influence of pKa on the biotransformation of indene H1-antihistamines by CYP2D6.,Bioorg. Med. Chem. Lett.,PUBLICATION,
CHEMBL115769,ADQZGIYHFQQPRB-UHFFFAOYSA-N,RWJ-68354,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,,IC50,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,,CHO-K1,,,,,,,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL115769,ADQZGIYHFQQPRB-UHFFFAOYSA-N,RWJ-68354,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,,KI,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,,CHO-K1,,,,,,,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL1934523,ADRZQEOBUFIYAZ-LJQANCHMSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,22172695.0,INHIBITION,<,50,%,,,,,,,,,,,,,,,Binding affinity to H1 receptor at 10 uM relative to control,Identification of biaryl sulfone derivatives as antagonists of the histamine H3 receptor: discovery of (R)-1-(2-(4'-(3-methoxypropylsulfonyl)biphenyl-4-yl)ethyl)-2-methylpyrrolidine (APD916).,Bioorg. Med. Chem. Lett.,PUBLICATION,
CHEMBL1702607,ADVPTQAUNPRNPO-UHFFFAOYSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,12649361.0,KI,=,10000,NM,,,,,,,,,,,,,,,,,,,
CHEMBL322194,ADZSGFZICHOKOJ-UHFFFAOYSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,,IC50,=,6.42,NM,,,,,,,,,,,,,,,Antagonistic activity against histamine H1 receptor,,Bioorg. Med. Chem. Lett.,PUBLICATION,
CHEMBL322194,ADZSGFZICHOKOJ-UHFFFAOYSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,,IC50,=,381,NM,,,,,,,,,,,,,,,Antagonism of the human histamine H1 receptor,,Bioorg. Med. Chem. Lett.,PUBLICATION,
CHEMBL3220637,AEBYLHALALJXOL-UHFFFAOYSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,,INTRINSIC ACTIVITY,=,0.01,,,,cell_based,,,,,,,,,,,,Intrinsic activity at human recombinant histamine H1 receptor expressed in Sf9 cells coexpressing RGS4 preincubated for 2 mins before [gamma32P]GTP addition measured after 20 mins by steady-state GTPase activity assay relative to histamine,,MedChemComm,PUBLICATION,
CHEMBL3220637,AEBYLHALALJXOL-UHFFFAOYSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,,PKB,<,5,,,,cell_based,,,,,,,,,,,,Antagonist activity at human recombinant histamine H1 receptor expressed in Sf9 cells coexpressing RGS4 assessed as inhibition of histamine-induced [gamma33P]GTP hydrolysis preincubated for 2 mins before [gamma32P]GTP addition measured after 20 mins by steady-state GTPase activity assay,,MedChemComm,PUBLICATION,
CHEMBL470564,AECNWVFAWBLCAX-UHFFFAOYSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,16554355.0,KI,=,3500,NM,,,,,,,,,,,,,,,,,,,
CHEMBL470564,AECNWVFAWBLCAX-UHFFFAOYSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,18950149.0,KB,=,8800,NM,,,cell_based,,,,,U373 MG,,,,,,,Antagonist activity at histamine H1 receptor in human U373 MG cells assessed as inhibition of histamine-induced intracellular calcium level preincubated for 15 mins prior to histamine challenge,"Acylguanidines as bioisosteres of guanidines: NG-acylated imidazolylpropylguanidines, a new class of histamine H2 receptor agonists.",J. Med. Chem.,PUBLICATION,
CHEMBL252557,AEMRFAOFKBGASW-UHFFFAOYSA-N,GLYCOLIC ACID,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,,IC50,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,,CHO-K1,,,,,,,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL252557,AEMRFAOFKBGASW-UHFFFAOYSA-N,GLYCOLIC ACID,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,,KI,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,,CHO-K1,,,,,,,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL3220892,AEOZDVJZTYYDHL-UHFFFAOYSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,,PEC50,,,,Not Determined,,cell_based,,,,,,,,,,,,Agonist activity at human recombinant histamine H1 receptor expressed in Sf9 cells coexpressing RGS4 preincubated for 2 mins before [gamma32P]GTP addition measured after 20 mins by steady-state GTPase activity assay,,MedChemComm,PUBLICATION,
CHEMBL3220892,AEOZDVJZTYYDHL-UHFFFAOYSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,,PKB,<,5,,,,cell_based,,,,,,,,,,,,Antagonist activity at human recombinant histamine H1 receptor expressed in Sf9 cells coexpressing RGS4 assessed as inhibition of histamine-induced [gamma33P]GTP hydrolysis preincubated for 2 mins before [gamma32P]GTP addition measured after 20 mins by steady-state GTPase activity assay,,MedChemComm,PUBLICATION,
CHEMBL1651091,AETDFAXPCFASDB-UHFFFAOYSA-N,PULICATINS F,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,21028889.0,ACTIVITY,=,517,NM,,,,,,,,,,,,,,,Binding affinity to human histamine H1 receptor by radioligand displacement assay,"Pulicatins A-E, neuroactive thiazoline metabolites from cone snail-associated bacteria.",J. Nat. Prod.,PUBLICATION,
CHEMBL44884,AEUTYOVWOVBAKS-UWVGGRQHSA-N,ETHAMBUTOL,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,,IC50,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,,CHO-K1,,,,,,,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL44884,AEUTYOVWOVBAKS-UWVGGRQHSA-N,ETHAMBUTOL,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,,KI,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,,CHO-K1,,,,,,,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL513893,AEWLECDUIOHVBW-QBNMFFNISA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,18768318.0,IC50,>,10000,NM,,,,,,,,,,,,,,,Inhibition of histamine H1 receptor,Synthesis and evaluation of a spiro-isobenzofuranone class of histamine H3 receptor inverse agonists.,Bioorg. Med. Chem. Lett.,PUBLICATION,
CHEMBL2171022,AEWQIKDEAWAPPV-UHFFFAOYSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,23031591.0,KI,=,100,NM,,,cell_based,,,,,CHO-K1,,,,,,,Displacement of [3H]pyrilamine from human H1 receptor expressed in CHOK1 cells,The discovery of CCR3/H1 dual antagonists with reduced hERG risk.,Bioorg. Med. Chem. Lett.,PUBLICATION,
