Compound ID,Uniprot ID,Compound Name,Standard inchi key,Max Phase,Target Pref Name,Gene Names,Target Class,Wild type or mutant,Mutation information,PubMed ID,End Point Standard Type,End Point Standard Relation,End Point Standard Value,End Point Standard Units,Endpoint Mode of Action,Assay Format,Assay Type,Assay Sub Type,Inhibitor Type,Detection Technology,Compound concentration value,Compound concentration value units,Substrate type,Substrate Type Standard Relation,Substrate Type Standard Value,Substrate Type Standard Units,Assay cell line,Assay Description,Activity Comments,Title,Journal,Year,Volume,Issue,Authors,Annotation Comments,Assay ID,DTC Tid,DTC Activity ID,DTC Molregno,Record ID,DTC Document ID
CHEMBL1084876,P46098,,UPVXJFQSDLKQRB-UHFFFAOYSA-N,0,SEROTONIN 3A (5-HT3A) RECEPTOR,HTR3A,Ion channel,,,20465311,IC50,>,30000,NM,,cell_based,,,,,,,,,,,HEK293,Agonist activity at human 5HT3A receptor expressed in HEK293 cells by FLIPR assay,,"Novel alpha-7 nicotinic acetylcholine receptor agonists containing a urea moiety: identification and characterization of the potent, selective, and orally efficacious agonist 1-[6-(4-fluorophenyl)pyridin-3-yl]-3-(4-piperidin-1-ylbutyl) urea (SEN34625/WYE-103914).",J. Med. Chem.,2010,53,11,"Ghiron C, Haydar SN, Aschmies S, Bothmann H, Castaldo C, Cocconcelli G, Comery TA, Di L, Dunlop J, Lock T, Kramer A, Kowal D, Jow F, Grauer S, Harrison B, La Rosa S, Maccari L, Marquis KL, Micco I, Nencini A, Quinn J, Robichaud AJ, Roncarati R, Scali C, Terstappen GC, Turlizzi E, Valacchi M, Varrone M, Zanaletti R, Zanelli U",,634700,DTCT0023221,3345973,DTCC00645912,1428308,39082
CHEMBL1085379,P46098,,OXIAXPOOKVTTDN-UHFFFAOYSA-N,0,SEROTONIN 3A (5-HT3A) RECEPTOR,HTR3A,Ion channel,,,20465311,IC50,=,5700,NM,,cell_based,,,,,,,,,,,HEK293,Agonist activity at human 5HT3A receptor expressed in HEK293 cells by FLIPR assay,,"Novel alpha-7 nicotinic acetylcholine receptor agonists containing a urea moiety: identification and characterization of the potent, selective, and orally efficacious agonist 1-[6-(4-fluorophenyl)pyridin-3-yl]-3-(4-piperidin-1-ylbutyl) urea (SEN34625/WYE-103914).",J. Med. Chem.,2010,53,11,"Ghiron C, Haydar SN, Aschmies S, Bothmann H, Castaldo C, Cocconcelli G, Comery TA, Di L, Dunlop J, Lock T, Kramer A, Kowal D, Jow F, Grauer S, Harrison B, La Rosa S, Maccari L, Marquis KL, Micco I, Nencini A, Quinn J, Robichaud AJ, Roncarati R, Scali C, Terstappen GC, Turlizzi E, Valacchi M, Varrone M, Zanaletti R, Zanelli U",,634700,DTCT0023221,3345971,DTCC00645849,1492825,39082
CHEMBL1086332,P46098,,MUIUUGJVKFYPIF-UHFFFAOYSA-N,0,SEROTONIN 3A (5-HT3A) RECEPTOR,HTR3A,Ion channel,,,20465311,IC50,=,7900,NM,,cell_based,,,,,,,,,,,HEK293,Agonist activity at human 5HT3A receptor expressed in HEK293 cells by FLIPR assay,,"Novel alpha-7 nicotinic acetylcholine receptor agonists containing a urea moiety: identification and characterization of the potent, selective, and orally efficacious agonist 1-[6-(4-fluorophenyl)pyridin-3-yl]-3-(4-piperidin-1-ylbutyl) urea (SEN34625/WYE-103914).",J. Med. Chem.,2010,53,11,"Ghiron C, Haydar SN, Aschmies S, Bothmann H, Castaldo C, Cocconcelli G, Comery TA, Di L, Dunlop J, Lock T, Kramer A, Kowal D, Jow F, Grauer S, Harrison B, La Rosa S, Maccari L, Marquis KL, Micco I, Nencini A, Quinn J, Robichaud AJ, Roncarati R, Scali C, Terstappen GC, Turlizzi E, Valacchi M, Varrone M, Zanaletti R, Zanelli U",,634700,DTCT0023221,3345969,DTCC00645847,587120,39082
CHEMBL1086333,P46098,,HSWHSJUFDDMBTI-UHFFFAOYSA-N,0,SEROTONIN 3A (5-HT3A) RECEPTOR,HTR3A,Ion channel,,,20465311,IC50,=,7800,NM,,cell_based,,,,,,,,,,,HEK293,Agonist activity at human 5HT3A receptor expressed in HEK293 cells by FLIPR assay,,"Novel alpha-7 nicotinic acetylcholine receptor agonists containing a urea moiety: identification and characterization of the potent, selective, and orally efficacious agonist 1-[6-(4-fluorophenyl)pyridin-3-yl]-3-(4-piperidin-1-ylbutyl) urea (SEN34625/WYE-103914).",J. Med. Chem.,2010,53,11,"Ghiron C, Haydar SN, Aschmies S, Bothmann H, Castaldo C, Cocconcelli G, Comery TA, Di L, Dunlop J, Lock T, Kramer A, Kowal D, Jow F, Grauer S, Harrison B, La Rosa S, Maccari L, Marquis KL, Micco I, Nencini A, Quinn J, Robichaud AJ, Roncarati R, Scali C, Terstappen GC, Turlizzi E, Valacchi M, Varrone M, Zanaletti R, Zanelli U",,634700,DTCT0023221,3345970,DTCC00645848,197801,39082
CHEMBL1086577,P46098,,SLMFOVKWAUVQPC-UHFFFAOYSA-N,0,SEROTONIN 3A (5-HT3A) RECEPTOR,HTR3A,Ion channel,,,20465311,IC50,>,30000,NM,,cell_based,,,,,,,,,,,HEK293,Agonist activity at human 5HT3A receptor expressed in HEK293 cells by FLIPR assay,,"Novel alpha-7 nicotinic acetylcholine receptor agonists containing a urea moiety: identification and characterization of the potent, selective, and orally efficacious agonist 1-[6-(4-fluorophenyl)pyridin-3-yl]-3-(4-piperidin-1-ylbutyl) urea (SEN34625/WYE-103914).",J. Med. Chem.,2010,53,11,"Ghiron C, Haydar SN, Aschmies S, Bothmann H, Castaldo C, Cocconcelli G, Comery TA, Di L, Dunlop J, Lock T, Kramer A, Kowal D, Jow F, Grauer S, Harrison B, La Rosa S, Maccari L, Marquis KL, Micco I, Nencini A, Quinn J, Robichaud AJ, Roncarati R, Scali C, Terstappen GC, Turlizzi E, Valacchi M, Varrone M, Zanaletti R, Zanelli U",,634700,DTCT0023221,3345980,DTCC00645981,1330901,39082
CHEMBL1098230,P46098,,PQPVHIHIJVIEQG-UHFFFAOYSA-N,0,SEROTONIN 3A (5-HT3A) RECEPTOR,HTR3A,Ion channel,,,20384344,KI,>,1000,NM,,,,,,,,,,,,,,Inhibition of 5HT3 receptor,,Role of hydrophobic substituents on the terminal nitrogen of histamine in receptor binding and agonist activity: development of an orally active histamine type 3 receptor agonist and evaluation of its antistress activity in mice.,J. Med. Chem.,2010,53,9,"Ishikawa M, Shinei R, Yokoyama F, Yamauchi M, Oyama M, Okuma K, Nagayama T, Kato K, Kakui N, Sato Y",,630142,DTCT0023221,3336761,DTCC00641534,631300,38886
CHEMBL11,P46098,IMIPRAMINE,BCGWQEUPMDMJNV-UHFFFAOYSA-N,4,SEROTONIN 3A (5-HT3A) RECEPTOR,HTR3A,Ion channel,,,19144451,INHIBITION,>,50,%,,cell_based,,,,,,,,,,,HEK293,Antagonist activity at human 5HT3A receptor expressed in HEK293 cells assessed as inhibition of serotonin-induced inward Na+ current at >= 10 uM,,Molecular properties of psychopharmacological drugs determining non-competitive inhibition of 5-HT3A receptors.,Eur. J. Med. Chem.,2009,44,6,"Kornhuber J, Terfloth L, Bleich S, Wiltfang J, Rupprecht R",,572131,DTCT0023221,2849456,DTCC00132703,11935,34292
CHEMBL1110,P46098,ALOSETRON,JSWZEAMFRNKZNL-UHFFFAOYSA-N,4,SEROTONIN 3A (5-HT3A) RECEPTOR,HTR3A,Ion channel,,,20889341,KI,=,0.5,NM,,,,,,,,,,,,,,Binding affinity to human HT3A receptor,,Discovery of 2-substituted benzoxazole carboxamides as 5-HT3 receptor antagonists.,Bioorg. Med. Chem. Lett.,2010,20,22,"Yang Z, Fairfax DJ, Maeng JH, Masih L, Usyatinsky A, Hassler C, Isaacson S, Fitzpatrick K, DeOrazio RJ, Chen J, Harding JP, Isherwood M, Dobritsa S, Christensen KL, Wierschke JD, Bliss BI, Peterson LH, Beer CM, Cioffi C, Lynch M, Rennells WM, Richards JJ, Rust T, Khmelnitsky YL, Cohen ML, Manning DD",,674333,DTCT0023221,3553852,DTCC00258915,1310663,41528
CHEMBL1110,P46098,ALOSETRON,JSWZEAMFRNKZNL-UHFFFAOYSA-N,4,SEROTONIN 3A (5-HT3A) RECEPTOR,HTR3A,Ion channel,,,21146988,ACTIVITY,=,-1,%,,cell_based,,,,,,,,,,,HEK293,Partial agonist activity at human 5HT3A receptor expressed in HEK293 cells assessed as decrease in 100 uM 5-chloroindole-induced increase in intracellular calcium release at 3 uM relative to 5-HT,,Novel serotonin type 3 receptor partial agonists for the potential treatment of irritable bowel syndrome.,Bioorg. Med. Chem. Lett.,2011,21,1,"Manning DD, Cioffi CL, Usyatinsky A, Fitzpatrick K, Masih L, Guo C, Zhang Z, Choo SH, Sikkander MI, Ryan KN, Naginskaya J, Hassler C, Dobritsa S, Wierschke JD, Earley WG, Butler AS, Brady CA, Barnes NM, Cohen ML, Guzzo PR",,700825,DTCT0023221,5035411,DTCC00258915,1316308,42619
CHEMBL1110,P46098,ALOSETRON,JSWZEAMFRNKZNL-UHFFFAOYSA-N,4,SEROTONIN 3A (5-HT3A) RECEPTOR,HTR3A,Ion channel,,,21146988,ACTIVITY,=,2,%,,cell_based,,,,,,,,,,,HEK293,Partial agonist activity at human 5HT3A receptor expressed in HEK293 cells at 3 uM relative to 5HT,,Novel serotonin type 3 receptor partial agonists for the potential treatment of irritable bowel syndrome.,Bioorg. Med. Chem. Lett.,2011,21,1,"Manning DD, Cioffi CL, Usyatinsky A, Fitzpatrick K, Masih L, Guo C, Zhang Z, Choo SH, Sikkander MI, Ryan KN, Naginskaya J, Hassler C, Dobritsa S, Wierschke JD, Earley WG, Butler AS, Brady CA, Barnes NM, Cohen ML, Guzzo PR",,700638,DTCT0023221,5035400,DTCC00258915,1316308,42619
CHEMBL1110,P46098,ALOSETRON,JSWZEAMFRNKZNL-UHFFFAOYSA-N,4,SEROTONIN 3A (5-HT3A) RECEPTOR,HTR3A,Ion channel,,,21146988,KI,=,0.5,NM,,,,,,,,,,,,,,Binding affinity to human 5HT3A receptor,,Novel serotonin type 3 receptor partial agonists for the potential treatment of irritable bowel syndrome.,Bioorg. Med. Chem. Lett.,2011,21,1,"Manning DD, Cioffi CL, Usyatinsky A, Fitzpatrick K, Masih L, Guo C, Zhang Z, Choo SH, Sikkander MI, Ryan KN, Naginskaya J, Hassler C, Dobritsa S, Wierschke JD, Earley WG, Butler AS, Brady CA, Barnes NM, Cohen ML, Guzzo PR",,700634,DTCT0023221,5035391,DTCC00258915,1316308,42619
CHEMBL1110,P46098,ALOSETRON,JSWZEAMFRNKZNL-UHFFFAOYSA-N,4,SEROTONIN 3A (5-HT3A) RECEPTOR,HTR3A,Ion channel,,,24755431,KI,=,0.5,NM,,,,,,,,,,,,,,Displacement of [9-methyl-3H]BRL-43694 from human 5-HT3A receptor after overnight incubation by scintillation proximity assay,,The discovery of diazepinone-based 5-HT3 receptor partial agonists.,Bioorg. Med. Chem. Lett.,2014,24,11,"Manning DD, Guo C, Zhang Z, Ryan KN, Naginskaya J, Choo SH, Masih L, Earley WG, Wierschke JD, Newman AS, Brady CA, Barnes NM, Guzzo PR",,1350968,DTCT0023221,13709627,DTCC00258915,1301532,58772
CHEMBL1110,P46098,ALOSETRON,JSWZEAMFRNKZNL-UHFFFAOYSA-N,4,SEROTONIN 3A (5-HT3A) RECEPTOR,HTR3A,Ion channel,,,,KI,=,0.5,NM,,,,,,,,,,,,,,"BindingDB_Patents: Radioligand Binding Assay. The relative affinity of the various compounds for the human 5-HT3 receptor was measured in a radioligand binding assay, using a scintillation proximity assay (SPA) format. Test compounds were dissolved to 10 mM in 100% DMSO, then serially diluted at 10x assay concentrations in 100% DMSO in 96-well polypropylene plates and further diluted to 4x assay concentrations with the assay buffer. Samples were incubated in 50 mM Tris-HCl, pH 7.5, 3 mM MgCl2, 1 mM EDTA and 10% DMSO with 10 nM [9-methyl-3H]BRL-43694 (Perkin Elmer), 3 ug of human 5-HT3 receptor membranes (Perkin Elmer) and 0.5 mg/mL SPA beads (WGA PVT, Amersham Biosciences) in a final volume of 0.2 mL. Binding reactions were set up in wells of PicoPlates-96 (Perkin Elmer) by adding consecutively 50 uL of each competing compound or buffer, SPA beads, the radioligand and 5-HT3 receptor membranes. After an overnight incubation at room temperature on a Nutator mixer, plates were centrifuged for 15 min at 1,500 rpm.",,"5-HT3 receptor modulators, methods of making, and use thereof",,2015,,,,,1528463,DTCT0023221,14678639,DTCC00258915,1304123,65052
CHEMBL1112,P46098,ARIPIPRAZOLE,CEUORZQYGODEFX-UHFFFAOYSA-N,4,SEROTONIN 3A (5-HT3A) RECEPTOR,HTR3A,Ion channel,,,,KI,=,1000,NM,,,,,,,,,,,,,,Binding affinity to serotonin 5-HT3 receptor (unknown origin) by PDSP assay,,,MedChemComm,2012,3,5,,,1329312,DTCT0023221,13582408,DTCC00106550,1580612,39761
CHEMBL111639,P46098,FLUOROCARAZOLOL,QHLGXPUIUKSADT-UHFFFAOYSA-N,0,SEROTONIN 3A (5-HT3A) RECEPTOR,HTR3A,Ion channel,,,11512051,KI,=,10000,NM,,,,,,,,,,,,,,,,,,,,,,,,DTCT0023221,14736677,DTCC00281815,2106040,69642
CHEMBL11608,P46098,TYRAMINE,DZGWFCGJZKJUFP-UHFFFAOYSA-N,0,SEROTONIN 3A (5-HT3A) RECEPTOR,HTR3A,Ion channel,,,18033297,ACTIVITY,,,,,cell_based,,,,,,,,,,,HEK293,Activity at SER3 receptor expressed in HEK293 cells assessed as increase in calcium at 10 uM by calcium imaging assay,Active,An antidepressant that extends lifespan in adult Caenorhabditis elegans.,Nature,2007,450,7169,"Petrascheck M, Ye X, Buck LB",,478754,DTCT0023221,2354067,DTCC00139782,1458834,26306
CHEMBL11608,P46098,TYRAMINE,DZGWFCGJZKJUFP-UHFFFAOYSA-N,0,SEROTONIN 3A (5-HT3A) RECEPTOR,HTR3A,Ion channel,,,18033297,EC50,=,26000,NM,,cell_based,,,,,,,,,,,HEK293,Activity at SER3 receptor expressed in HEK293 cells assessed as increase in calcium by calcium imaging assay,,An antidepressant that extends lifespan in adult Caenorhabditis elegans.,Nature,2007,450,7169,"Petrascheck M, Ye X, Buck LB",,478755,DTCT0023221,2354068,DTCC00139782,1458834,26306
CHEMBL1163015,P46098,,HFOUMBDMIJJHCK-UHFFFAOYSA-N,0,SEROTONIN 3A (5-HT3A) RECEPTOR,HTR3A,Ion channel,,,19700325,IC50,=,2800,NM,,cell_based,,,,,,,,,,,HEK293,Displacement of [3H]granisetron from human recombinant 5-HT3 receptor expressed in HEK293 cells,,mu-Opioid/5-HT4 dual pharmacologically active agents-efforts towards an effective opioid analgesic with less GI and respiratory side effects (Part I).,Bioorg. Med. Chem. Lett.,2009,19,19,"Shao L, Wang F, Hewitt MC, Barberich TJ",,598654,DTCT0023221,3114452,DTCC00650396,1232455,36218
CHEMBL116913,P46098,,CEOCEXSTLLSYBV-UHFFFAOYSA-N,0,SEROTONIN 3A (5-HT3A) RECEPTOR,HTR3A,Ion channel,,,12540230,KI,=,53.2,NM,,,,,,,,,,,,,,Tested for 5-hydroxytryptamine 3 receptor agonist activity,,5-HT4 receptor ligands: applications and new prospects.,J. Med. Chem.,2003,46,3,"Langlois M, Fischmeister R",,3473,DTCT0023221,1066965,DTCC00290242,1774449,17663
CHEMBL1169707,P46098,,GCWNAFLHJNJVCV-UHFFFAOYSA-N,0,SEROTONIN 3A (5-HT3A) RECEPTOR,HTR3A,Ion channel,,,20541425,ACTIVITY,=,-7,%,,,,,,,,,,,,,,Binding affinity to 5HT3 receptor at 1 uM by radioligand displacement assay,,"Synthesis and biological study of 3-(phenylsulfonyl)thieno[2,3-e][1,2,3]triazolo[1,5-a]pyrimidines as potent and selective serotonin 5-HT6 receptor antagonists.",Bioorg. Med. Chem.,2010,18,14,"Ivachtchenko AV, Golovina ES, Kadieva MG, Koryakova AG, Kovalenko SM, Mitkin OD, Okun IM, Ravnyeyko IM, Tkachenko SE, Zaremba OV",,642506,DTCT0023221,3393561,DTCC00655086,1536915,39618
CHEMBL1170237,P46098,,DICVBGGIAAPPNV-ZSUDRMHPSA-N,0,SEROTONIN 3A (5-HT3A) RECEPTOR,HTR3A,Ion channel,,,24084296,KI,=,1000,NM,,cell_based,,,,,,,,,,,,Displacement of [3H]GR65630 from human recombinant 5HT3 receptor expressed in HEKT cells,,In vitro structure-activity relationships of aplysinopsin analogs and their in vivo evaluation in the chick anxiety-depression model.,Bioorg. Med. Chem.,2013,21,22,"Lewellyn K, Bialonska D, Loria MJ, White SW, Sufka KJ, Zjawiony JK",,989092,DTCT0023221,12643656,DTCC00655623,481040,56290
