compound_id,Original_Entry_ID,Entrez_ID,Activity_Flag,PXC50,DB,Original_Assay_ID,Tax_ID,Gene_Symbol,Ortholog_Group,InChI,SMILES,rdkit_smiles,VALUE_NUM_mean,VALUE_NUM_std,Perc_Var,Remove_BadDuplicate
AUYIPDOMSJCFJD-GRNVIRBNNA-N,CHEMBL2011587,79246,A,7.57,chembl20,809641,10116,HTR3A,2102,"InChI=1/C48H70N8O9/c1-37-43(39-9-5-7-11-41(39)51-45(37)55-19-15-53(3)16-20-55)47(57)49-13-23-59-25-27-61-29-31-63-33-35-65-36-34-64-32-30-62-28-26-60-24-14-50-48(58)44-38(2)46(56-21-17-54(4)18-22-56)52-42-12-8-6-10-40(42)44/h5-12H,13-36H2,1-4H3,(H,49,57)(H,50,58)/f/h49-50H",O(CCOCCOCCOCCOCCOCCNC(=O)C1=C(C(=NC2=CC=CC=C12)N3CCN(CC3)C)C)CCOCCNC(=O)C4=C(C(=NC5=CC=CC=C45)N6CCN(CC6)C)C,Cc1c(N2CCN(C)CC2)nc2ccccc2c1C(=O)NCCOCCOCCOCCOCCOCCOCCOCCNC(=O)c1c(C)c(N2CCN(C)CC2)nc2ccccc12,7.57,,0.0,0
AXVLPJHYYFHCHK-UYBDAZJANA-N,CHEMBL2440659,3359,N,4.73,chembl20,990310,9606,HTR3A,2102,"InChI=1/C15H11FN4O2S/c1-9-7-23-15(19-9)20-14(21)10-2-11(16)4-12(3-10)22-13-5-17-8-18-6-13/h2-8H,1H3,(H,19,20,21)/f/h20H",C1=C(C=C(C=C1OC2=CN=CN=C2)C(NC=3SC=C(N3)C)=O)F,Cc1csc(NC(=O)c2cc(F)cc(Oc3cncnc3)c2)n1,4.73,,0.0,0
AZGOVLGMSGAOMP-FZYUQVBKNA-N,CHEMBL404232,3359,A,5.52,chembl20,989092,9606,HTR3A,2102,"InChI=1/C14H14N4O/c1-17-12(13(19)18(2)14(17)15)7-9-8-16-11-6-4-3-5-10(9)11/h3-8,15-16H,1-2H3/b12-7+,15-14?",C=1C=C2C(/C=C/3\C(N(C(N3C)=N)C)=O)=CNC2=CC1,CN1C(=N)N(C)/C(=C/c2c[nH]c3ccccc23)C1=O,5.52,,0.0,0
BAZZAIKMNMNZJS-PKRZOPRNNA-N,CHEMBL494999,79246,A,7.36,chembl20,523350,10116,HTR3A,2102,"InChI=1/C24H24N4O2/c1-17-7-5-10-19-21(17)28-12-6-11-20(28)23(25-19)27-15-13-26(14-16-27)22(24(29)30)18-8-3-2-4-9-18/h2-12,22H,13-16H2,1H3,(H,29,30)/f/h29H",N=1C=2C=CC=C(C)C2N3C(=CC=C3)C1N4CCN(CC4)C(C(=O)O)C5=CC=CC=C5,Cc1cccc2nc(N3CCN(C(C(=O)O)c4ccccc4)CC3)c3cccn3c12,7.36,,0.0,0
BIKQMUIIBHYLFG-QNYVOOPBNA-N,CHEMBL3084765,3359,A,8.41,chembl20,674333,9606,HTR3A,2102,"InChI=1/C24H34N4O3/c1-3-6-19-15-30-12-11-28(19)24-26-22-20(9-5-10-21(22)31-24)23(29)25-16-13-17-7-4-8-18(14-16)27(17)2/h5,9-10,16-19H,3-4,6-8,11-15H2,1-2H3,(H,25,29)/t16-,17-,18+,19-/m0/s1/f/h25H",[C@@H]12C[C@H](NC(C3=C4N=C(OC4=CC=C3)N5[C@H](COCC5)CCC)=O)C[C@@H](CCC1)N2C,CCC[C@H]1COCCN1c1nc2c(C(=O)N[C@H]3C[C@@H]4CCC[C@H](C3)N4C)cccc2o1,8.41,,0.0,0
BIKQMUIIBHYLFG-WBRJOLTRNA-N,76309745,3359,A,8.40894,pubchem,526452,9606,HTR3A,2102,"InChI=1/C24H34N4O3/c1-3-6-19-15-30-12-11-28(19)24-26-22-20(9-5-10-21(22)31-24)23(29)25-16-13-17-7-4-8-18(14-16)27(17)2/h5,9-10,16-19H,3-4,6-8,11-15H2,1-2H3,(H,25,29)/t16?,17-,18+,19-/m0/s1/f/h25H",O=C(NC1C[C@@H]2N([C@H](C1)CCC2)C)C3=C4N=C(OC4=CC=C3)N5[C@@H](CCC)COCC5,CCC[C@H]1COCCN1c1nc2c(C(=O)NC3C[C@@H]4CCC[C@H](C3)N4C)cccc2o1,8.40894,,0.0,0
BJPAAUARTYANJL-UHFFFAOYNA-N,44419820,3359,A,6.56067,pubchem,276556,9606,HTR3A,2102,"InChI=1/C22H23FN4O2/c1-26-20(22(28)29-2)18(15-3-5-17(23)6-4-15)19(16-7-9-24-10-8-16)21(26)27-13-11-25-12-14-27/h3-10,25H,11-14H2,1-2H3",FC1=CC=C(C=2C(=C(N3CCNCC3)N(C2C(OC)=O)C)C=4C=CN=CC4)C=C1,COC(=O)c1c(-c2ccc(F)cc2)c(-c2ccncc2)c(N2CCNCC2)n1C,6.56067,,0.0,0
BKSKSEWIBBBRSQ-SPEPDGBUNA-N,CHEMBL225601,3359,A,5.48,chembl20,578446,9606,HTR3A,2102,"InChI=1/C23H25ClN4O3/c24-18-7-4-16(5-8-18)15-28-22(30)19-9-6-17(14-20(19)26-23(28)31)21(29)25-10-13-27-11-2-1-3-12-27/h4-9,14H,1-3,10-13,15H2,(H,25,29)(H,26,31)/f/h25-26H",C1=CC=2C(N(C(NC2C=C1C(=O)NCCN3CCCCC3)=O)CC4=CC=C(C=C4)Cl)=O,O=C(NCCN1CCCCC1)c1ccc2c(=O)n(Cc3ccc(Cl)cc3)c(=O)[nH]c2c1,5.48,,0.0,0
BNASSGFQLMOZKG-LILDFLRNNA-N,CHEMBL471712,3359,A,6.24,chembl20,864726,9606,HTR3A,2102,"InChI=1/C13H15ClN4O/c1-17-4-6-18(7-5-17)13-15-11-3-2-9(14)8-10(11)12(19)16-13/h2-3,8H,4-7H2,1H3,(H,15,16,19)/f/h19H",C=1C=C2N=C(N3CCN(CC3)C)N=C(C2=CC1Cl)O,CN1CCN(c2nc(O)c3cc(Cl)ccc3n2)CC1,6.24,,0.0,0
BPPGPYJBCVXILI-UHFFFAOYNA-N,CHEMBL364005,3359,A,7.47,chembl20,321408,9606,HTR3A,2102,"InChI=1/C14H15ClN2/c1-9-14(10-4-6-16-7-5-10)12-8-11(15)2-3-13(12)17-9/h2-4,8,16-17H,5-7H2,1H3",C1(=C(NC=2C1=CC(=CC2)Cl)C)C3=CCNCC3,Cc1[nH]c2ccc(Cl)cc2c1C1=CCNCC1,7.47,,0.0,0
BPUACIBQBJYAPM-UHFFFAOYNA-N,CHEMBL2204355,3359,A,7.1,chembl20,880265,9606,HTR3A,2102,"InChI=1/C18H22N2O2S/c1-21-15-7-5-9-17(18(15)22-2)23-16-8-4-3-6-14(16)20-12-10-19-11-13-20/h3-9,19H,10-13H2,1-2H3",N1(CCNCC1)C=2C(=CC=CC2)SC=3C(=C(C=CC3)OC)OC,COc1cccc(Sc2ccccc2N2CCNCC2)c1OC,7.1,,0.0,0
BQFFJFYYLYTLCC-HCKMINDGNA-N,CHEMBL489664,3359,A,7.83,chembl20,864726,9606,HTR3A,2102,"InChI=1/C15H20ClN5O/c1-20-5-7-21(8-6-20)15-18-13-3-2-11(16)10-12(13)14(19-15)17-4-9-22/h2-3,10,22H,4-9H2,1H3,(H,17,18,19)/f/h17H",C1=C(C=C2C(=C1)N=C(N3CCN(CC3)C)N=C2NCCO)Cl,CN1CCN(c2nc(NCCO)c3cc(Cl)ccc3n2)CC1,7.83,,0.0,0
BRNJLENJYHXKEL-PKSOQXRJNA-N,CHEMBL566522,79246,A,9.17,chembl20,592418,10116,HTR3A,2102,"InChI=1/C19H19FN6/c20-14-3-4-17-16(10-14)23-19(18-2-1-5-26(17)18)25-8-6-24(7-9-25)12-15-11-21-13-22-15/h1-5,10-11,13H,6-9,12H2,(H,21,22)/f/h21H",C1=C(C=C2N=C(N3CCN(CC3)CC4=CNC=N4)C=5N(C=CC5)C2=C1)F,Fc1ccc2c(c1)nc(N1CCN(Cc3c[nH]cn3)CC1)c1cccn12,9.17,,0.0,0
BSAYMXGAHRLDCA-RTBURBONNA-N,CHEMBL503427,3359,N,4.3,chembl20,566267,9606,HTR3A,2102,"InChI=1/C21H26N2O2/c1-22-19(7-5-16-6-8-20-17(13-16)9-12-25-20)14-18(21(22)24)15-23-10-3-2-4-11-23/h6,8,13,18-19H,2-4,9-12,14-15H2,1H3/t18-,19-/m1/s1",C(#CC1=CC2=C(C=C1)OCC2)[C@@H]3C[C@H](CN4CCCCC4)C(=O)N3C,CN1C(=O)[C@@H](CN2CCCCC2)C[C@H]1C#Cc1ccc2c(c1)CCO2,4.3,,0.0,0
BSCUUFDNCBQNPG-UHFFFAOYNA-N,CHEMBL1278087,3359,A,7.81,chembl20,684849,9606,HTR3A,2102,"InChI=1/C26H30N6O/c1-19-7-6-9-21-25(19)29-24(32(27)26(21)33)11-4-5-14-30-15-17-31(18-16-30)23-13-12-20-8-2-3-10-22(20)28-23/h2-3,6-10,12-13H,4-5,11,14-18,27H2,1H3",N1=C(N(C(C=2C=CC=C(C12)C)=O)N)CCCCN3CCN(CC3)C=4N=C5C=CC=CC5=CC4,Cc1cccc2c(=O)n(N)c(CCCCN3CCN(c4ccc5ccccc5n4)CC3)nc12,7.81,,0.0,0
BTAHQEQRFWNWKD-GNGLVOITNA-N,CHEMBL3084775,3359,A,7.23,chembl20,674333,9606,HTR3A,2102,"InChI=1/C23H33N5O2/c1-14-12-24-13-15(2)28(14)23-26-21-19(8-5-9-20(21)30-23)22(29)25-16-10-17-6-4-7-18(11-16)27(17)3/h5,8-9,14-18,24H,4,6-7,10-13H2,1-3H3,(H,25,29)/t14-,15-,16-,17-,18+/m1/s1/f/h25H",[C@H]12N(C)[C@H](CCC1)C[C@H](C2)NC(C3=C4N=C(OC4=CC=C3)N5[C@@H](CNC[C@H]5C)C)=O,C[C@@H]1CNC[C@@H](C)N1c1nc2c(C(=O)N[C@H]3C[C@@H]4CCC[C@H](C3)N4C)cccc2o1,7.23,,0.0,0
BTAHQEQRFWNWKD-GTCIPBPLNA-N,24769783,3359,A,8.61979,pubchem,526452,9606,HTR3A,2102,"InChI=1/C23H33N5O2/c1-14-12-24-13-15(2)28(14)23-26-21-19(8-5-9-20(21)30-23)22(29)25-16-10-17-6-4-7-18(11-16)27(17)3/h5,8-9,14-18,24H,4,6-7,10-13H2,1-3H3,(H,25,29)/t14-,15-,16?,17-,18+/m0/s1/f/h25H",O=C(NC1C[C@@H]2N([C@H](C1)CCC2)C)C3=C4N=C(OC4=CC=C3)N5[C@H](CNC[C@@H]5C)C,C[C@H]1CNC[C@H](C)N1c1nc2c(C(=O)NC3C[C@@H]4CCC[C@H](C3)N4C)cccc2o1,8.61979,,0.0,0
BTAHQEQRFWNWKD-NLAFUWLINA-N,76320683,3359,A,7.42829,pubchem,526452,9606,HTR3A,2102,"InChI=1/C23H33N5O2/c1-14-12-24-13-15(2)28(14)23-26-21-19(8-5-9-20(21)30-23)22(29)25-16-10-17-6-4-7-18(11-16)27(17)3/h5,8-9,14-18,24H,4,6-7,10-13H2,1-3H3,(H,25,29)/t14-,15+,16?,17-,18+/f/h25H",O=C(NC1C[C@@H]2N([C@H](C1)CCC2)C)C3=C4N=C(OC4=CC=C3)N5[C@H](CNC[C@H]5C)C,C[C@H]1CNC[C@@H](C)N1c1nc2c(C(=O)NC3C[C@@H]4CCC[C@H](C3)N4C)cccc2o1,7.42829,,0.0,0
BTAHQEQRFWNWKD-OLIJDHPLNA-N,76335155,3359,A,7.226210000000001,pubchem,526452,9606,HTR3A,2102,"InChI=1/C23H33N5O2/c1-14-12-24-13-15(2)28(14)23-26-21-19(8-5-9-20(21)30-23)22(29)25-16-10-17-6-4-7-18(11-16)27(17)3/h5,8-9,14-18,24H,4,6-7,10-13H2,1-3H3,(H,25,29)/t14-,15-,16?,17-,18+/m1/s1/f/h25H",O=C(NC1C[C@@H]2N([C@H](C1)CCC2)C)C3=C4N=C(OC4=CC=C3)N5[C@@H](CNC[C@H]5C)C,C[C@@H]1CNC[C@@H](C)N1c1nc2c(C(=O)NC3C[C@@H]4CCC[C@H](C3)N4C)cccc2o1,7.226210000000001,,0.0,0
BTAHQEQRFWNWKD-PHNNOWGMNA-N,CHEMBL3084776,3359,A,8.62,chembl20,674333,9606,HTR3A,2102,"InChI=1/C23H33N5O2/c1-14-12-24-13-15(2)28(14)23-26-21-19(8-5-9-20(21)30-23)22(29)25-16-10-17-6-4-7-18(11-16)27(17)3/h5,8-9,14-18,24H,4,6-7,10-13H2,1-3H3,(H,25,29)/t14-,15-,16-,17-,18+/m0/s1/f/h25H",[C@H]12N(C)[C@H](CCC1)C[C@H](C2)NC(C3=C4N=C(OC4=CC=C3)N5[C@H](CNC[C@@H]5C)C)=O,C[C@H]1CNC[C@H](C)N1c1nc2c(C(=O)N[C@H]3C[C@@H]4CCC[C@H](C3)N4C)cccc2o1,8.62,,0.0,0
BTAHQEQRFWNWKD-YOWPWNQQNA-N,CHEMBL3084774,3359,A,7.43,chembl20,674333,9606,HTR3A,2102,"InChI=1/C23H33N5O2/c1-14-12-24-13-15(2)28(14)23-26-21-19(8-5-9-20(21)30-23)22(29)25-16-10-17-6-4-7-18(11-16)27(17)3/h5,8-9,14-18,24H,4,6-7,10-13H2,1-3H3,(H,25,29)/t14-,15+,16-,17-,18+/f/h25H",[C@H]12N(C)[C@H](CCC1)C[C@H](C2)NC(C3=C4N=C(OC4=CC=C3)N5[C@H](CNC[C@H]5C)C)=O,C[C@H]1CNC[C@@H](C)N1c1nc2c(C(=O)N[C@H]3C[C@@H]4CCC[C@H](C3)N4C)cccc2o1,7.43,,0.0,0
BWUVAZMPSVZMLB-NCADKSFONA-N,76335134,3359,A,5.88606,pubchem,643471,9606,HTR3A,2102,"InChI=1/C38H50N6O7/c1-5-44(6-2)29-14-13-25-21-31(38(47)51-33(25)24-29)36(45)39-15-16-48-17-18-49-19-20-50-32-12-8-11-30-34(41-43(4)35(30)32)37(46)40-26-22-27-9-7-10-28(23-26)42(27)3/h8,11-14,21,24,26-28H,5-7,9-10,15-20,22-23H2,1-4H3,(H,39,45)(H,40,46)/t26?,27-,28+/f/h39-40H",O=C(NC1C[C@@H]2N([C@H](C1)CCC2)C)C3=NN(C4=C3C=CC=C4OCCOCCOCCNC(=O)C5=CC6=C(OC5=O)C=C(N(CC)CC)C=C6)C,CCN(CC)c1ccc2cc(C(=O)NCCOCCOCCOc3cccc4c(C(=O)NC5C[C@@H]6CCC[C@H](C5)N6C)nn(C)c34)c(=O)oc2c1,5.88606,,0.0,0
BWUVAZMPSVZMLB-QLRPJNFXNA-N,CHEMBL3084443,3359,A,5.89,chembl20,800919,9606,HTR3A,2102,"InChI=1/C38H50N6O7/c1-5-44(6-2)29-14-13-25-21-31(38(47)51-33(25)24-29)36(45)39-15-16-48-17-18-49-19-20-50-32-12-8-11-30-34(41-43(4)35(30)32)37(46)40-26-22-27-9-7-10-28(23-26)42(27)3/h8,11-14,21,24,26-28H,5-7,9-10,15-20,22-23H2,1-4H3,(H,39,45)(H,40,46)/t26-,27-,28+/f/h39-40H",C(C=1C(=O)OC2=C(C1)C=CC(N(CC)CC)=C2)(=O)NCCOCCOCCOC3=CC=CC4=C3N(N=C4C(N[C@H]5C[C@H]6N([C@@H](C5)CCC6)C)=O)C,CCN(CC)c1ccc2cc(C(=O)NCCOCCOCCOc3cccc4c(C(=O)N[C@H]5C[C@@H]6CCC[C@H](C5)N6C)nn(C)c34)c(=O)oc2c1,5.89,,0.0,0
CBUHKJLQRNBVRE-PBWFPOADNA-N,76313433,79246,A,7.602060000000001,pubchem,455453,10116,HTR3A,2102,"InChI=1/C17H20N2O2/c1-19-15-5-3-2-4-11(15)8-16(19)17(20)21-14-9-12-6-7-13(10-14)18-12/h2-5,8,12-14,18H,6-7,9-10H2,1H3/t12-,13+,14?",O(C1C[C@@H]2N[C@@H](CC2)C1)C(=O)C=3N(C=4C(C3)=CC=CC4)C,Cn1c(C(=O)OC2C[C@@H]3CC[C@H](C2)N3)cc2ccccc21,7.602060000000001,,0.0,0
CBUHKJLQRNBVRE-WDNDVIMCNA-N,CHEMBL3084712,79246,A,7.6,chembl20,606511,10116,HTR3A,2102,"InChI=1/C17H20N2O2/c1-19-15-5-3-2-4-11(15)8-16(19)17(20)21-14-9-12-6-7-13(10-14)18-12/h2-5,8,12-14,18H,6-7,9-10H2,1H3/t12-,13+,14+",[C@@H]12N[C@@H](CC1)C[C@H](C2)OC(=O)C=3N(C4=C(C3)C=CC=C4)C,Cn1c(C(=O)O[C@@H]2C[C@@H]3CC[C@H](C2)N3)cc2ccccc21,7.6,,0.0,0
