,Ambit_InchiKey,Original_Entry_ID,Entrez_ID,Activity_Flag,pXC50,DB,Original_Assay_ID,Tax_ID,Gene_Symbol,Ortholog_Group,SMILES
10,BDDPDGBPFDDYBY-UHFFFAOYNA-N,54582000,3269,A,5.5544,pubchem,600300,9606,HRH1,2055,N1(C2CCN(CC2)C)CC3=C(N(C4=C3C=C(C=C4)C)CCC5=CC=CN=C5)CC1
11,BFIAPIAYPVHYPQ-UHFFFAOYNA-N,CHEMBL256481,3269,A,5.6,chembl20,465005,9606,HRH1,2055,C=1(C=CC=C2C1C=CC(=N2)C)C=3N(C)C(=NN3)SCCCCN4CCC5=C(C6=C(C=C5CC4)N=C(O6)C)C
12,BHMPPLVSPUZBNL-UHFFFAOYNA-N,CHEMBL1092812,3269,A,6.92,chembl20,624292,9606,HRH1,2055,C1=CC=C2C(=C(CCN(C)C)SC2=C1)C(C)C=3C=CC(=NC3)OC
13,BHVDELPYDQJPHR-UHFFFAOYNA-N,CHEMBL15637,24448,A,7.0,chembl20,84709,10116,HRH1,2055,C1(N(C=2C=CC(=CC2S1)CCCCN3CCN(CC3)CC4=C(C=C(C=C4)Cl)Cl)C)=O
14,BETHXCLHMRGYBW-UHFFFAOYNA-N,CHEMBL150161,3269,A,6.59,chembl20,490811,9606,HRH1,2055,N1(CC(CC1)(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(F)C=C3
15,BEYBSSSCFNIKNG-UHFFFAOYNA-N,CHEMBL94834,3269,A,8.2,chembl20,84418,9606,HRH1,2055,C=1(N(C2=CC=CC=C2N1)CC=3C=CC(=CC3)F)C(C4CCN(CC4)CCC5(CN(C(C=6C=C(OC)C(=C(C6)OC)OC)=O)CC5)C=7C=CC(C(F)(F)F)=CC7)=O
16,BFCDFTHTSVTWOG-UHFFFAOYNA-N,5354,3269,A,5.28594,pubchem,625269,9606,HRH1,2055,S(C1=CC=C(C(O)C(NCCCCCCCC)C)C=C1)C(C)C
17,BFCDFTHTSVTWOG-YLJYHZDGNA-N,CHEMBL588119,3269,A,5.61,chembl20,774767,9606,HRH1,2055,CCCCCCCCN[C@H](C)[C@@H](O)C1=CC=C(SC(C)C)C=C1
18,BBPIYFSEHZGVJE-INIZCTEONA-N,CHEMBL1669420,3269,A,7.32,chembl20,718096,9606,HRH1,2055,C1=CC=C2C([C@H](C3=CN=CC=N3)C)=C(CC2=C1)CCN(CC=4SC=CN4)C
19,BBQVIKFUQPNVLK-LELJVTLKNA-N,46933091,3269,A,7.10002,pubchem,501928,9606,HRH1,2055,ClC=1N=C2N(CC=3C(C=C2N4CCN(CC4)CC(C)(C)C(O)=O)=CC=CC3)C1
20,BATQCPTUBUKUDO-ANERHFIZNA-N,CHEMBL2158778,3269,A,6.4,chembl20,856370,9606,HRH1,2055,C1=C(C=CC(=C1)OC2CCN(CC2)CC3CCN(CC3)[C@@H](CC4=CC=C(C=C4)F)C(=O)O)Cl
21,BAZQBEOFVYAFHT-BIEYTDBTNA-N,CHEMBL565551,3269,A,6.09,chembl20,594567,9606,HRH1,2055,C=1(C(N(C)C)=NC(=NC1)N[C@H]2CC[C@H](CC2)NC(C=3C=CC(=CC3)F)=O)C
22,BAZQBEOFVYAFHT-DVIAZDKANA-N,23027527,3269,A,6.0915099999999995,pubchem,443389,9606,HRH1,2055,FC=1C=CC(C(=O)NC2CCC(NC=3N=C(N(C)C)C(=CN3)C)CC2)=CC1
23,ASARBMLXIRIMCK-SAQDHHBINA-N,CHEMBL1276860,3269,A,7.4,chembl20,685205,9606,HRH1,2055,C12(C3=C(CC4=C(C1)C=CC=C4)C=CC=C3)CCC(C2)N5C[C@@H]6[C@H](C5)[C@H]6C(=O)O
24,ASARBMLXIRIMCK-TYWBQZETNA-N,49836527,3269,A,7.400010000000001,pubchem,537324,9606,HRH1,2055,O=C(O)C1[C@H]2[C@@H]1CN(C2)C3CC4(CC3)CC=5C(CC=6C4=CC=CC6)=CC=CC5
25,AWYSEPZPTVMKBT-UHFFFAOYNA-N,CHEMBL540982,3269,A,7.96,chembl20,582981,9606,HRH1,2055,C1=CC=C2C(=C1)SC(=C2CC3=CC=C(C=C3)F)CCN(C)C
26,AXIFLPLKZRNVDP-MRXNPFEDNA-N,CHEMBL1095819,3269,A,9.05,chembl20,796225,9606,HRH1,2055,C1=CC=C2C(=C1)N=C([C@@H]3CCCN(C3)C)N2CC4=CC=C(C=C4)F
27,AXIFLPLKZRNVDP-UHFFFAOYNA-N,CHEMBL1087089,3269,A,9.3,chembl20,796225,9606,HRH1,2055,C1=CC=C2C(=C1)N=C(C3CCCN(C3)C)N2CC4=CC=C(C=C4)F
28,AQQFXOLTZFTABW-UHFFFAOYNA-N,CHEMBL517244,3269,A,7.4,chembl20,540493,9606,HRH1,2055,C=1C2=C(C=CC1)C3C4=C(C2(CC3)CCCN(CC5=CC=C(C=C5)OCCCN6CCCCC6)C)C=CC=C4
29,AQRDKFVOYVDLCT-UHFFFAOYNA-N,CHEMBL3094114,3269,A,6.0,chembl20,1280381,9606,HRH1,2055,C1(COC2=CC=C3C(=C2)CCN(CC3)CC4CC4)=CC=CC=C1
30,AQVKRBFXFFKXJV-AOYCEVKUNA-N,CHEMBL2158791,3269,A,6.8,chembl20,856370,9606,HRH1,2055,C([C@@](C)(N1CCC(CN2CCC(OC=3C=CC(=CC3C)Cl)CC2)CC1)CC4=CC=C(C=C4)F)(O)=O
31,ARFONFXLNJVMPP-UHFFFAOYNA-N,45485493,3269,N,,pubchem,448777,9606,HRH1,2055,OC(C1CCN(CC1)C(=O)CCCC2=CC=C(C=C2)C)(C3=CC=CC=C3)C4=CC=CC=C4
32,AVVIXBQVVAAVHK-ADEGMZDYNA-N,CHEMBL3094128,3269,A,5.6,chembl20,1280381,9606,HRH1,2055,C1=CC(=CC=C1CN2CC[C@@H](C2)NC(C=3C=CC4=C(C3)OCO4)=O)OCCCN5CCCCC5
33,AVZFSLTZULXZCC-UHFFFAOYNA-N,CHEMBL603049,3269,A,7.51,chembl20,603320,9606,HRH1,2055,N1(CCC2=CC=C(C=C2)C)C=3C=CC(F)=CC3C=4CN(CCC41)C
34,AUTKMGMMFJXIDV-UHFFFAOYNA-N,CHEMBL158780,3269,A,6.76,chembl20,605748,9606,HRH1,2055,C=1C=C2C(=CC1)CC3=C(C2CCCN)C=CC=C3
35,AVBATPOOKQCBKS-QWOVJGMINA-N,CHEMBL66388,3269,A,5.39,chembl20,84430,9606,HRH1,2055,C=1(C2=C(CCCCC2)N=C3C1C=CC=C3)NCCCN4CCCC4
36,AVFYUSOOXDDQAW-UHFFFAOYNA-N,CHEMBL563451,3269,A,8.82,chembl20,584293,9606,HRH1,2055,C1=CC=C2N(C(N3CCC(CC3)N(C)C)=NC2=C1)CC=4C=CC(=CC4)C
37,ATPAZLJUTRYFNR-UHFFFAOYNA-N,CHEMBL2171021,3269,A,7.6,chembl20,862026,9606,HRH1,2055,O=S(=O)(C=1C=C(C(N2CCC(N3CCC(OC=4C=CC(=C(C4Cl)C)Cl)CC3)CC2)=O)C=CC1)C
38,AXVLPJHYYFHCHK-UYBDAZJANA-N,CHEMBL2440659,3269,N,4.73,chembl20,990396,9606,HRH1,2055,C1=C(C=C(C=C1OC2=CN=CN=C2)C(NC=3SC=C(N3)C)=O)F
39,AYEYSXMZCARQKR-AWEZNQCLNA-N,CHEMBL556506,3269,A,8.89,chembl20,718096,9606,HRH1,2055,C1=CC=C2C(=C1)CC(=C2[C@H](C3=CN=CC=N3)C)CCN(C)C
40,BXUKKRHEMKVWOY-UHFFFAOYNA-N,CHEMBL1765111,3269,A,7.8,chembl20,741663,9606,HRH1,2055,C=1(C=CC(OCCCN2CCCCCC2)=CC1)CCN3CCCC(N4N=C(CC5=CC=C(Cl)C=C5)C=6C(C4=O)=CC=CC6)CC3
41,BUCORZSTKDOEKQ-SDXDJHTJNA-N,2712,3269,A,5.74594,pubchem,625269,9606,HRH1,2055,ClC1=CC2=C(N(O)C/C(/N=C2C=C1)=N/C)C3=CC=CC=C3
42,CBEQULMOCCWAQT-WOJGMQOQNA-N,CHEMBL855,3269,A,9.9,chembl20,689142,9606,HRH1,2055,N1=C(/C(/C2=CC=C(C=C2)C)=C/CN3CCCC3)C=CC=C1
43,CCXXDPNVVABEGJ-SREBMQDQNA-N,CHEMBL2158825,3269,A,7.8,chembl20,856370,9606,HRH1,2055,C1(=C(C=CC(=C1)OC2CCN(CC2)CC3CCN(CC3)C4=CC=CC=C4CC(=O)O)Cl)Cl
44,BYMRLNXYRMIIKD-UHFFFAOYNA-N,CHEMBL256650,3269,A,5.5,chembl20,465005,9606,HRH1,2055,C1=CC=C2N=C(C=CC2=C1C3=NN=C(SCCN4CCC5=CC6=C(C=C5CC4)N=C(O6)C)N3C)C
45,CABAUJLNRQAJJX-UJHKPSPNNA-N,90667241,3269,N,,pubchem,1122375,9606,HRH1,2055,N(CCCCC1=NNN=C1)/C(/NC#N)=N/C
46,AGNYFINNIVFBHA-UBXIPSODNA-N,CHEMBL147077,3269,A,6.31,chembl20,84428,9606,HRH1,2055,C1(C(C(C(=O)NCCCN2CCC(CC2)(C(=O)OC)C3=CC=CC=C3)=C(N=C1C)C)C=4C=CC(N(=O)=O)=CC4)C(=O)NC
47,AHIOIWMCDDMDRL-UHFFFAOYNA-N,CHEMBL330172,3269,A,8.2,chembl20,84418,9606,HRH1,2055,C=1(N(C2=CC=CC=C2N1)CC=3C=NC=CC3)C(C4CCN(CC4)CCC5(CN(C(C6=CC(OC)=C(C(=C6)OC)OC)=O)CC5)C=7C=CC=CC7)=O
48,ACQBHJXEAYTHCY-HCKMINDGNA-N,CHEMBL14638,3269,A,5.6,chembl20,1280381,9606,HRH1,2055,N1C=NC(CCCOC=2C=CC(=CC2)C(C3CC3)=O)=C1
49,ACRMNEFOWLXFLY-UHFFFAOYNA-N,CHEMBL272694,3269,A,5.7,chembl20,465005,9606,HRH1,2055,C1=CC=C2C(=C1C=3N(C(SCCCN4CCC=5C(CC4)=CC6=C(C5C)OC(=N6)C)=NN3)C)C=CC(C)=N2
50,ACTVOFFLDWZANE-KHMGXFTDNA-N,CHEMBL96732,3269,A,7.57,chembl20,84421,9606,HRH1,2055,[C@H]12[C@H](C=3C(=CC=CC3)CC4=C1C=CC=C4)CC(O2)CN(C)C
51,ACTVOFFLDWZANE-NSISKUIANA-N,CHEMBL329566,3269,A,9.27,chembl20,84421,9606,HRH1,2055,[C@H]12[C@@H](C=3C(=CC=CC3)CC4=C1C=CC=C4)C[C@@H](O2)CN(C)C
52,ACTVOFFLDWZANE-ODFWGIBRNA-N,CHEMBL92667,3269,A,9.15,chembl20,84421,9606,HRH1,2055,[C@H]12[C@@H](C=3C(=CC=CC3)CC4=C1C=CC=C4)CC(O2)CN(C)C
53,ACTVOFFLDWZANE-PWIZWCRZNA-N,CHEMBL329268,3269,A,9.2,chembl20,84421,9606,HRH1,2055,[C@H]12[C@@H](C=3C(=CC=CC3)CC4=C1C=CC=C4)C[C@H](O2)CN(C)C
54,ACTVOFFLDWZANE-VDGAXYAQNA-N,CHEMBL327651,3269,A,8.43,chembl20,84421,9606,HRH1,2055,[C@@H]12[C@H](C=3C(=CC=CC3)CC4=C1C=CC=C4)C[C@H](O2)CN(C)C
55,ACTVOFFLDWZANE-ZNCRQWOUNA-N,CHEMBL371352,3269,A,9.37,chembl20,303185,9606,HRH1,2055,[C@H]12C(C3=C(C=CC=C3)CC4=C1C=CC=C4)C[C@@H](O2)CN(C)C
56,ADLLYWYUHVDQBH-UHFFFAOYNA-N,CHEMBL1669412,3269,A,8.37,chembl20,718096,9606,HRH1,2055,C1=CC=C2C(=C1)CC(=C2CC3=CN=CC=N3)CCN4CCC4
57,ADZSGFZICHOKOJ-UHFFFAOYNA-N,CHEMBL322194,3269,A,8.19,chembl20,84418,9606,HRH1,2055,C1(=NC2=CC=CC=C2N1CCOCC)C(C3CCN(CC3)CCC4(CN(C(C5=CC(OC)=C(C(=C5)OC)OC)=O)CC4)C=6C=CC=CC6)=O
58,AEWQIKDEAWAPPV-SREBMQDQNA-N,CHEMBL2171022,3269,A,7.0,chembl20,862026,9606,HRH1,2055,C1(=C(C=CC(=C1)OC2CCN(CC2)C3CCN(CC3)C(=O)C4=CC(=CC=C4)OCC(=O)O)Cl)Cl
59,AIESXMXVDNOKQF-HXUWFJFHNA-N,CHEMBL2111767,24448,A,5.44,chembl20,84704,10116,HRH1,2055,[C@H]1(C2=C(C=C(C=C2)Cl)CCC3=C1N=CC=C3)N4CCN(CC4)C(=O)C
60,AIESXMXVDNOKQF-UHFFFAOYNA-N,CHEMBL326821,24448,A,5.27,chembl20,84704,10116,HRH1,2055,C1(C2=C(C=C(C=C2)Cl)CCC3=C1N=CC=C3)N4CCN(CC4)C(=O)C
61,AIGMIQVSRPRWAQ-CQSZACIVNA-N,CHEMBL1090186,3269,A,8.89,chembl20,625162,9606,HRH1,2055,C1(=CC=C2C(=C(CCN(C)C)CC2=C1)[C@@H](C)C=3N=CC=NC3OC)OC
62,ABDWUBPDHWDFCV-CYBMUJFWNA-N,CHEMBL1090526,3269,A,9.15,chembl20,760134,9606,HRH1,2055,C1(=CC=C2C(=C(CCN(C)C)CC2=C1)[C@@H](C)C3=C(N=CC=N3)OC)F
63,ABOWDNIHZHLENL-UHFFFAOYNA-N,CHEMBL270853,3269,A,5.6,chembl20,465005,9606,HRH1,2055,C1=CC=C2N=C(C=CC2=C1C=3N(C(SCCCCN4CCC5=CC6=C(C=C5CC4)CN(C6=O)C)=NN3)C)C
64,BMMSDSQQAGDCHS-VHKGTHMQNA-N,CHEMBL302005,3269,A,7.96,chembl20,875630,9606,HRH1,2055,C/1(\C2=C(OCC=3C1=CC=CC3)C=CC(=C2)CC(O)=O)=C/CN(C)C
65,BPDWWCSMAZGENY-XERRNIMFNA-N,54586256,3269,A,7.200660000000001,pubchem,595800,9606,HRH1,2055,O1C2=C(/C(=C\CCN3CCCN(CC3)C=4N(C(=O)N(C(=O)C4)C)C)/C=5C(C1)=CC=CC5)C=C(C=C2)C(O)=O
66,BOQXUEKBVIXPKQ-KTWFDGLBNA-N,16082828,3269,A,5.16749,pubchem,270370,9606,HRH1,2055,ClC1=CC=C(CNCC[C@H]2[C@@H](C2)C=3NC=NC3)C=C1
67,BOQXUEKBVIXPKQ-OGQVNEIMNA-N,16082831,3269,A,5.0705800000000005,pubchem,270370,9606,HRH1,2055,ClC1=CC=C(CNCC[C@@H]2[C@H](C2)C=3NC=NC3)C=C1
68,BOQXUEKBVIXPKQ-XXEMXDGBNA-N,CHEMBL214311,3269,A,5.07,chembl20,393882,9606,HRH1,2055,[C@H]1(C=2N=CNC2)C[C@@H]1CCNCC3=CC=C(C=C3)Cl
69,BOQXUEKBVIXPKQ-ZGVMUQIQNA-N,CHEMBL213886,3269,A,5.17,chembl20,393882,9606,HRH1,2055,[C@@H]1(C=2N=CNC2)C[C@H]1CCNCC3=CC=C(C=C3)Cl
70,BKRGVLQUQGGVSM-WPXWUSHPNA-N,CHEMBL157138,3269,A,7.72,chembl20,774767,9606,HRH1,2055,C1=2C[C@@H](CN(C1=CC=3C=4C2C=CCC4NC3)C)NC(N(CC)CC)=O
71,BODDNEXOKSACRX-NKDUXHERNA-N,CHEMBL61348,24448,A,6.7,chembl20,84710,10116,HRH1,2055,N1=CNC=C1CCCC(=N)NCCC(C2=CC=C(C=C2)Cl)C3=NC=CC=C3
72,CPDKHEPGGZULPR-UHFFFAOYNA-N,CHEMBL478617,3269,A,6.2,chembl20,490811,9606,HRH1,2055,C12N(CCCC(C3=CC=C(C=C3)F)=O)C(CC(O)(C4=CC=CC=C4)C1)CC2
73,CPSGCDLKARETBW-UHFFFAOYNA-N,CHEMBL3289442,3269,A,5.09,chembl20,1362943,9606,HRH1,2055,C12(CCN(CC1)CC3(CCN(CC3)C(OCC)=O)C)CN(C=4N=CC=CC42)S(C)(=O)=O
74,CQGTWGRGLDAJSE-UHFFFAOYNA-N,CHEMBL82714,3269,A,8.78,chembl20,84540,9606,HRH1,2055,N12C(C3=C(C=CC=C3)CC4=C1C=CC=C4)CC(O2)(CN(C)C)C
75,CQJJYGDKIDMYJM-UHFFFAOYNA-N,CHEMBL310018,3269,A,6.17,chembl20,84540,9606,HRH1,2055,N12C(C3=C(C=CC=C3)CC4=C1C=CC=C4)CC(O2)CCCN(C)C
76,CLQMFOOMFPNKNA-NUQOIIOLNA-N,59296000,3269,A,7.700060000000001,pubchem,719511,9606,HRH1,2055,ClC=1C=C(OC2CCN(CC2)C[C@H](O)CNC(=O)N3C4=C(N=C3O)C=CC=C4)C=CC1Cl
77,CEUORZQYGODEFX-HXTKINSTNA-N,CHEMBL1112,3269,A,7.0,chembl20,1329741,9606,HRH1,2055,C1(=CC=CC(=C1Cl)N2CCN(CCCCOC=3C=CC4=C(C3)NC(CC4)=O)CC2)Cl
78,CEXVQARQHVKRBU-RMNMTYGKNA-N,CHEMBL93321,3269,A,8.02,chembl20,84421,9606,HRH1,2055,[C@H]12[C@@H](C=3C(=CC=CC3)OCC4=C1C=CC=C4)CC(O2)CN(C)C
79,CHZUEGVOEFMIJH-UHFFFAOYNA-N,73355415,3269,A,5.32459,pubchem,772786,9606,HRH1,2055,N(CC12C3C4C1C5C2C3C45)C6C7C8C9C7CC%10C6C8CC9%10
80,CHZUEGVOEFMIJH-ZKRSMWHSNA-N,CHEMBL2432039,3269,A,5.32,chembl20,985421,9606,HRH1,2055,C12C3C4C1C5C4C3C25CN[C@@H]6C7C8C9C6C%10C(C8C7C%10)C9
81,CIAWHNGOFJZBCL-MGBGTMOVNA-N,CHEMBL2146813,3269,A,9.0,chembl20,848018,9606,HRH1,2055,C=1N=CC2=C(C1)C(N(C[C@@H]3N(CCC3)CCCCC4=CC=C(C=C4)OCCCN5CCCCCC5)N=C2CC6=CC=C(C=C6)Cl)=O
82,CIIWLVZNBDXUIV-UHFFFAOYNA-N,CHEMBL79496,3269,A,6.0,chembl20,84540,9606,HRH1,2055,N12OC(C(N(C)C)=O)CC1C3=C(C=CC=C3)CC4=C2C=CC=C4
83,CJGNMVAAMQAWEF-UHFFFAOYNA-N,CHEMBL481153,3269,A,7.54,chembl20,969176,9606,HRH1,2055,C1=CC=C2SC3=C(C=CC=C3)N(C(OCCN4CCCC4)=O)C2=C1
84,CJHFYNOETGOKCU-QDIHOGQBNA-N,CHEMBL73706,3269,A,6.26,chembl20,84432,9606,HRH1,2055,C(N(O)CCC#CC=1OC(CN2CCN(CC2)C(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F)=CC1)(=O)N
85,CJMVJEMHSLDPMO-QGZVFWFLNA-N,52937728,3269,A,9.30016,pubchem,591512,9606,HRH1,2055,FC=1C=C(CC2=NN(C[C@@H]3N(CCC3)C)C(=O)C4=C2C=CC=C4)C=CC1
86,CGPUMTTUBWGRHT-MXYOMBERNA-N,CHEMBL2158773,3269,A,7.8,chembl20,856370,9606,HRH1,2055,C1(=C(C=CC(=C1)OC2CCN(CC2)CC3CCN(CC3)[C@@H](CC4=CC(=CC=C4)C)C(=O)O)Cl)Cl
87,CHGXPKZHRZIZSQ-UHFFFAOYNA-N,60165413,3269,A,7.284,pubchem,663608,9606,HRH1,2055,S1C(=NC=2C1=CC=CC2)C(=O)CCCCN3CCC(CC3)C4=CC=CC=C4
88,CLEGTFPJUAEKOX-UHFFFAOYNA-N,CHEMBL1923528,3269,A,5.64,chembl20,790127,9606,HRH1,2055,C(CNC)(O)CN1C2CCCCC2C3=C1C=CC=C3
89,CKMBGNSZMPWQNH-LNNLXFCONA-N,CHEMBL274767,24448,A,5.97,chembl20,84727,10116,HRH1,2055,N1C(=NC=C1CCN)CCCCC(C2=CC=CC=C2)C3=CC=CC=C3
90,DERZBLKQOCDDDZ-JLHYYAGUNA-N,CHEMBL43064,3269,A,8.06,chembl20,774767,9606,HRH1,2055,N1(CCN(CC1)C/C=C/C=2C=CC=CC2)C(C=3C=CC=CC3)C=4C=CC=CC4
91,DFBFDRZHAVAEKE-UHFFFAOYNA-N,CHEMBL1923522,3269,A,7.21,chembl20,790127,9606,HRH1,2055,N1=C(N=C(N2CCCC2)C3=C1N(N=C3)C)N4CCN(CC4)C
92,DCGYGKIBQOAKTB-QGZVFWFLNA-N,52937630,3269,A,9.50031,pubchem,591512,9606,HRH1,2055,FC1=CC=C(CC2=NN(C[C@@H]3N(CCC3)C)C(=O)C4=C2C=CC=C4)C=C1
93,DCPIUFZZSDRFTC-YJIIWVITNA-N,CHEMBL2158817,3269,A,7.7,chembl20,856370,9606,HRH1,2055,C1(=C(C=CC(=C1)OC2CCN(CC2)C[C@H]3CN(CCO3)C(C(=O)O)C4=CC=CC=C4)Cl)Cl
94,DCPIUFZZSDRFTC-ZIJWMJRINA-N,CHEMBL2158818,3269,A,7.0,chembl20,856370,9606,HRH1,2055,C1(=C(C=CC(=C1)OC2CCN(CC2)C[C@@H]3CN(CCO3)C(C(=O)O)C4=CC=CC=C4)Cl)Cl
95,DARWEDNPGILOPQ-LQFNOIFHNA-N,CHEMBL241329,3269,A,6.57,chembl20,452349,9606,HRH1,2055,C1(CCN(CC2=CC(OCC)=C(C=C2)Cl)CC1)NC(=O)C3=CN=CC(=C3)C
96,DDHSIUUOIYFUOU-UHFFFAOYNA-N,CHEMBL558467,3269,A,8.74,chembl20,584293,9606,HRH1,2055,C1=CC=C2N(C(N3CCC(CC3)N(C)C)=NC2=C1)CC=4C=CC(=CC4)F
97,CZRJZZTYRIMAJY-FGZAEZAUNA-N,28864,3269,A,6.79588,pubchem,625269,9606,HRH1,2055,O=C(N[C@@H]1CN(C2=C(C3=C4C(C2)=CNC4=CC=C3)C1)C)N(CC)CC
98,CZXWYWSRENNIBD-UHFFFAOYNA-N,CHEMBL1092600,3269,A,7.92,chembl20,625162,9606,HRH1,2055,C1(=CC=C2C(=C1)CC(CCN(C)C)=C2CC3=CN=CC=N3)C
99,CWXOTCCLEKNUJY-AQYSXWTQNA-N,CHEMBL2158781,3269,A,6.8,chembl20,856370,9606,HRH1,2055,C1=C(C=CC(=C1C)OC2CCN(CC2)CC3CCN(CC3)[C@@H](CC4=CC=C(C=C4)F)C(=O)O)F
100,CXDSZAINFKAKPN-COWRIWCYNA-N,49836633,24448,A,8.25026,pubchem,537330,10116,HRH1,2055,O=C(O)C1CN(C2C[C@]3(CC2)CC=4C(CC=5C3=CC=CC5)=CC=CC4)C1
101,CXDSZAINFKAKPN-COWRIWCYNA-N,CHEMBL1276948,3269,A,8.2,chembl20,685205,9606,HRH1,2055,[C@]12(CC3=C(C=CC=C3)CC=4C=CC=CC14)CCC(C2)N5CC(C5)C(=O)O
102,CVPRWHZDWBRVGS-UHFFFAOYNA-N,CHEMBL256653,3269,A,5.4,chembl20,465005,9606,HRH1,2055,C=1(C=2N(C(SCCCN3CCC=4C(CC3)=CC5=C(OC(=N5)C)C4)=NN2)C)C=NC=CC1
103,CVUXESFCUHCXHB-UHFFFAOYNA-N,CHEMBL550818,3269,A,8.41,chembl20,796225,9606,HRH1,2055,C1=CC=C2C(=C1)N=C(N2CC3=CC=C(C=C3)F)N4CCC(CC4)N(CC5CCOCC5)C
104,CXQUOFVDYCOSEZ-UHFFFAOYNA-N,CHEMBL210578,3269,A,5.06,chembl20,490811,9606,HRH1,2055,C12N(CCCC(C3=CC=C(C=C3)F)=O)C(CC(O)(C4=CC=C(C=C4)Cl)C1)CC2
105,CYAXTHULEFHIMG-PKRZOPRNNA-N,71458868,3269,A,7.700060000000001,pubchem,701282,9606,HRH1,2055,ClC1=C(OC2CCN(C3CCN(CC3)C(=O)NS(=O)(=O)C4=CC=C(N(C)C)C=C4)CC2)C=CC(Cl)=C1C
106,CTPOZVITFCJCLL-UHFFFAOYNA-N,CHEMBL94726,3269,A,8.18,chembl20,84418,9606,HRH1,2055,C=1(N(C2=CC=CC=C2N1)CC3=CC=C(C=C3)F)C(C4CCN(CC4)CCC5(CN(C(C6=C(C(OC)=C(C=C6)OC)OC)=O)CC5)C=7C=C8OCOC8=CC7)=O
107,CSSKAGWIWQOQME-SREBMQDQNA-N,71462389,3269,A,6.900010000000001,pubchem,701282,9606,HRH1,2055,ClC=1C=C(OC2CCN(C3CCN(CC3)C(=O)C=4C=C(C=CC4)C(O)=O)CC2)C=CC1Cl
108,CZCOISNXSIJAAK-UHFFFAOYNA-N,CHEMBL1783961,3269,A,6.19,chembl20,750451,9606,HRH1,2055,C1(=CC=C2C(=C1)C3=C(N2CCC=4C=CC=NC4)CCN(C3)C)F
109,CUIDNQSCWXAPRS-PKRZOPRNNA-N,CHEMBL2158824,3269,A,7.2,chembl20,856370,9606,HRH1,2055,C1(=C(C=CC(=C1)OC2CCN(CC2)CC3CCN(CC3)C=4C=CC(=CC4)C(O)=O)Cl)Cl
110,CUKBOHPSSFJJFQ-UHFFFAOYNA-N,CHEMBL318369,3269,A,8.22,chembl20,84418,9606,HRH1,2055,C1(=NC2=CC=CC=C2N1CCCC(=O)OCC)C(C3CCN(CC3)CCC4(CN(C(C5=CC(OC)=C(C(=C5)OC)OC)=O)CC4)C6=CC(Cl)=C(C=C6)Cl)=O
